Well,UTM E/W,UTM N/S,TVD,inline,xline
15-9_19BT2,434905.682,6478612.237,1008.17,10152.0,2289.0
15-9_19BT2,434899.715,6478613.66,1016.06,10152.0,2289.0
15-9_19BT2,434893.638,6478615.163,1023.83,10151.0,2290.0
15-9_19BT2,434887.411,6478616.727,1031.5,10152.0,2290.0
15-9_19BT2,434881.044,6478618.27,1039.07,10151.0,2291.0
15-9_19BT2,434874.457,6478619.794,1046.53,10151.0,2291.0
15-9_19BT2,434867.871,6478621.467,1053.85,10151.0,2292.0
15-9_19BT2,434861.224,6478622.991,1061.04,10151.0,2292.0
15-9_19BT2,434854.277,6478624.575,1068.2,10151.0,2293.0
15-9_19BT2,434847.401,6478626.228,1075.14,10151.0,2293.0
15-9_19BT2,434840.284,6478627.992,1081.99,10151.0,2294.0
15-9_19BT2,434833.098,6478629.716,1088.72,10151.0,2295.0
15-9_19BT2,434825.802,6478631.55,1095.3,10151.0,2295.0
15-9_19BT2,434818.325,6478633.084,1101.74,10151.0,2296.0
15-9_19BT2,434810.759,6478634.788,1108.02,10151.0,2296.0
15-9_19BT2,434803.053,6478636.493,1114.19,10151.0,2297.0
15-9_19BT2,434795.296,6478638.147,1120.19,10151.0,2298.0
15-9_19BT2,434787.35,6478639.851,1126.1,10151.0,2298.0
15-9_19BT2,434779.364,6478641.356,1131.84,10151.0,2299.0
15-9_19BT2,434771.258,6478643.22,1137.47,10151.0,2300.0
15-9_19BT2,434763.132,6478644.855,1142.96,10151.0,2300.0
15-9_19BT2,434754.946,6478646.579,1148.36,10151.0,2301.0
15-9_19BT2,434746.68,6478648.264,1153.71,10151.0,2302.0
15-9_19BT2,434738.384,6478650.089,1159.02,10151.0,2302.0
15-9_19BT2,434730.088,6478651.873,1164.28,10151.0,2303.0
15-9_19BT2,434721.742,6478653.678,1169.47,10151.0,2304.0
15-9_19BT2,434713.426,6478655.492,1174.63,10151.0,2304.0
15-9_19BT2,434705.05,6478657.427,1179.74,10151.0,2305.0
15-9_19BT2,434696.704,6478659.202,1184.89,10151.0,2306.0
15-9_19BT2,434688.328,6478661.016,1190.09,10151.0,2306.0
15-9_19BT2,434680.072,6478662.781,1195.34,10151.0,2307.0
15-9_19BT2,434671.756,6478664.605,1200.68,10151.0,2308.0
15-9_19BT2,434663.55,6478666.48,1206.04,10151.0,2308.0
15-9_19BT2,434655.384,6478668.334,1211.48,10151.0,2309.0
15-9_19BT2,434647.218,6478670.019,1216.98,10151.0,2310.0
15-9_19BT2,434639.122,6478671.863,1222.54,10151.0,2310.0
15-9_19BT2,434631.026,6478673.848,1228.13,10151.0,2311.0
15-9_19BT2,434623.03,6478675.552,1233.74,10151.0,2312.0
15-9_19BT2,434614.804,6478677.597,1239.26,10151.0,2312.0
15-9_19BT2,434606.658,6478679.561,1244.64,10151.0,2313.0
15-9_19BT2,434598.522,6478681.446,1249.96,10151.0,2314.0
15-9_19BT2,434590.216,6478683.32,1255.27,10151.0,2314.0
15-9_19BT2,434581.88,6478685.125,1260.5,10151.0,2315.0
15-9_19BT2,434573.514,6478687.169,1265.65,10151.0,2316.0
15-9_19BT2,434565.269,6478689.184,1270.76,10151.0,2316.0
15-9_19BT2,434556.973,6478691.078,1276.03,10151.0,2317.0
15-9_19BT2,434552.775,6478692.101,1278.71,10151.0,2318.0
15-9_19BT2,434548.717,6478693.073,1281.3,10151.0,2318.0
15-9_19BT2,434540.441,6478695.207,1286.58,10151.0,2319.0
15-9_19BT2,434532.385,6478697.621,1291.85,10151.0,2319.0
15-9_19BT2,434524.19,6478700.066,1297.1,10151.0,2320.0
15-9_19BT2,434516.074,6478702.59,1302.3,10151.0,2321.0
15-9_19BT2,434507.889,6478705.344,1307.43,10151.0,2321.0
15-9_19BT2,434499.783,6478708.188,1312.52,10151.0,2322.0
15-9_19BT2,434491.748,6478711.262,1317.57,10151.0,2323.0
15-9_19BT2,434483.763,6478714.536,1322.54,10151.0,2323.0
15-9_19BT2,434476.208,6478717.81,1327.46,10151.0,2324.0
15-9_19BT2,434467.773,6478721.504,1332.37,10152.0,2325.0
15-9_19BT2,434459.998,6478725.527,1337.2,10152.0,2325.0
15-9_19BT2,434452.183,6478729.431,1342.01,10152.0,2326.0
15-9_19BT2,434444.449,6478733.444,1346.81,10152.0,2327.0
15-9_19BT2,434436.534,6478737.388,1351.61,10152.0,2327.0
