Well,UTM E/W,UTM N/S,TVD,inline,xline
15-9_F11B,434973.285,6478561.398,1083.57,10149.0,2282.0
15-9_F11B,434971.197,6478561.98,1093.33,10149.0,2283.0
15-9_F11B,434968.968,6478562.732,1103.05,10149.0,2283.0
15-9_F11B,434966.598,6478563.619,1112.73,10149.0,2283.0
15-9_F11B,434964.078,6478564.608,1122.35,10149.0,2283.0
15-9_F11B,434961.333,6478565.709,1131.91,10149.0,2283.0
15-9_F11B,434958.35,6478566.9,1141.37,10149.0,2284.0
15-9_F11B,434955.198,6478568.131,1150.78,10149.0,2284.0
15-9_F11B,434951.912,6478569.369,1160.15,10149.0,2284.0
15-9_F11B,434948.485,6478570.59,1169.46,10149.0,2284.0
15-9_F11B,434944.951,6478571.778,1178.74,10149.0,2285.0
15-9_F11B,434941.36,6478572.938,1188.0,10149.0,2285.0
15-9_F11B,434937.716,6478574.058,1197.24,10149.0,2285.0
15-9_F11B,434934.016,6478575.121,1206.47,10149.0,2286.0
15-9_F11B,434930.269,6478576.132,1215.69,10149.0,2286.0
15-9_F11B,434926.497,6478577.115,1224.9,10149.0,2286.0
15-9_F11B,434922.708,6478578.095,1234.1,10149.0,2287.0
15-9_F11B,434918.917,6478579.075,1243.3,10149.0,2287.0
15-9_F11B,434915.178,6478580.031,1252.52,10149.0,2287.0
15-9_F11B,434911.512,6478580.96,1261.78,10149.0,2288.0
15-9_F11B,434907.917,6478581.87,1271.07,10149.0,2288.0
15-9_F11B,434904.407,6478582.747,1280.39,10149.0,2288.0
15-9_F11B,434900.944,6478583.593,1289.73,10149.0,2288.0
15-9_F11B,434897.488,6478584.432,1299.08,10149.0,2289.0
15-9_F11B,434894.018,6478585.278,1308.42,10149.0,2289.0
15-9_F11B,434890.51,6478586.125,1317.74,10149.0,2289.0
15-9_F11B,434886.951,6478586.966,1327.05,10149.0,2290.0
15-9_F11B,434883.333,6478587.793,1336.33,10149.0,2290.0
15-9_F11B,434879.635,6478588.57,1345.59,10149.0,2290.0
15-9_F11B,434875.813,6478589.224,1354.81,10149.0,2290.0
15-9_F11B,434871.854,6478589.728,1363.98,10149.0,2291.0
15-9_F11B,434867.778,6478590.114,1373.1,10149.0,2291.0
15-9_F11B,434863.564,6478590.345,1382.17,10149.0,2291.0
15-9_F11B,434859.199,6478590.377,1391.16,10149.0,2292.0
15-9_F11B,434854.697,6478590.209,1400.09,10149.0,2292.0
15-9_F11B,434850.084,6478589.849,1408.95,10149.0,2292.0
15-9_F11B,434845.374,6478589.283,1417.75,10149.0,2293.0
15-9_F11B,434840.57,6478588.525,1426.49,10148.0,2293.0
15-9_F11B,434835.692,6478587.668,1435.18,10148.0,2294.0
15-9_F11B,434830.75,6478586.772,1443.82,10148.0,2294.0
15-9_F11B,434825.715,6478585.842,1452.41,10148.0,2294.0
15-9_F11B,434820.574,6478584.887,1460.93,10148.0,2295.0
15-9_F11B,434815.351,6478583.905,1469.4,10148.0,2295.0
15-9_F11B,434810.069,6478582.905,1477.84,10147.0,2295.0
15-9_F11B,434804.724,6478581.897,1486.23,10147.0,2296.0
15-9_F11B,434799.328,6478580.883,1494.58,10147.0,2296.0
15-9_F11B,434793.903,6478579.872,1502.92,10147.0,2297.0
15-9_F11B,434788.438,6478578.86,1511.23,10147.0,2297.0
15-9_F11B,434782.942,6478577.837,1519.52,10146.0,2297.0
15-9_F11B,434777.447,6478576.786,1527.81,10146.0,2298.0
15-9_F11B,434771.958,6478575.706,1536.1,10146.0,2298.0
15-9_F11B,434766.478,6478574.603,1544.39,10146.0,2299.0
15-9_F11B,434761.004,6478573.485,1552.68,10146.0,2299.0
15-9_F11B,434755.512,6478572.364,1560.96,10145.0,2299.0
15-9_F11B,434749.995,6478571.233,1569.22,10145.0,2300.0
