Well,UTM E/W,UTM N/S,TVD,inline,xline
15-9_F12,434821.098,6478530.136,1572.98,10143.0,2294.0
15-9_F12,434817.42,6478529.045,1582.21,10143.0,2294.0
15-9_F12,434813.71,6478527.934,1591.43,10143.0,2294.0
15-9_F12,434809.961,6478526.8,1600.63,10143.0,2294.0
15-9_F12,434806.18,6478525.647,1609.82,10143.0,2295.0
15-9_F12,434802.375,6478524.478,1618.99,10143.0,2295.0
15-9_F12,434798.556,6478523.302,1628.16,10143.0,2295.0
15-9_F12,434794.727,6478522.124,1637.32,10142.0,2295.0
15-9_F12,434790.891,6478520.942,1646.48,10142.0,2296.0
15-9_F12,434787.05,6478519.757,1655.63,10142.0,2296.0
15-9_F12,434783.201,6478518.573,1664.78,10142.0,2296.0
15-9_F12,434779.349,6478517.391,1673.94,10142.0,2297.0
15-9_F12,434775.501,6478516.212,1683.09,10142.0,2297.0
15-9_F12,434771.658,6478515.037,1692.25,10141.0,2297.0
15-9_F12,434767.816,6478513.864,1701.4,10141.0,2297.0
15-9_F12,434763.981,6478512.69,1710.56,10141.0,2298.0
15-9_F12,434760.156,6478511.515,1719.73,10141.0,2298.0
15-9_F12,434756.342,6478510.342,1728.9,10141.0,2298.0
15-9_F12,434752.543,6478509.164,1738.07,10141.0,2298.0
15-9_F12,434748.755,6478507.983,1747.25,10140.0,2299.0
15-9_F12,434744.971,6478506.801,1756.43,10140.0,2299.0
15-9_F12,434741.185,6478505.618,1765.61,10140.0,2299.0
15-9_F12,434737.394,6478504.428,1774.78,10140.0,2300.0
15-9_F12,434733.596,6478503.234,1783.96,10140.0,2300.0
15-9_F12,434729.8,6478502.047,1793.13,10140.0,2300.0
15-9_F12,434726.01,6478500.868,1802.31,10139.0,2300.0
15-9_F12,434722.214,6478499.69,1811.48,10139.0,2301.0
15-9_F12,434718.407,6478498.514,1820.66,10139.0,2301.0
15-9_F12,434714.595,6478497.349,1829.83,10139.0,2301.0
15-9_F12,434710.781,6478496.191,1839.0,10139.0,2301.0
15-9_F12,434706.963,6478495.032,1848.17,10139.0,2302.0
15-9_F12,434703.137,6478493.88,1857.33,10138.0,2302.0
15-9_F12,434699.305,6478492.741,1866.5,10138.0,2302.0
15-9_F12,434695.471,6478491.611,1875.66,10138.0,2303.0
15-9_F12,434691.635,6478490.48,1884.83,10138.0,2303.0
15-9_F12,434687.831,6478489.356,1894.01,10138.0,2303.0
15-9_F12,434684.111,6478488.255,1903.22,10138.0,2303.0
15-9_F12,434680.502,6478487.179,1912.49,10137.0,2304.0
15-9_F12,434677.003,6478486.113,1921.79,10137.0,2304.0
15-9_F12,434673.613,6478485.041,1931.14,10137.0,2304.0
15-9_F12,434670.342,6478483.951,1940.53,10137.0,2304.0
15-9_F12,434667.191,6478482.834,1949.95,10137.0,2305.0
15-9_F12,434664.151,6478481.694,1959.41,10137.0,2305.0
15-9_F12,434661.216,6478480.545,1968.9,10137.0,2305.0
15-9_F12,434658.389,6478479.404,1978.42,10136.0,2305.0
15-9_F12,434655.681,6478478.291,1987.98,10136.0,2305.0
15-9_F12,434653.107,6478477.222,1997.59,10136.0,2306.0
15-9_F12,434650.681,6478476.197,2007.23,10136.0,2306.0
15-9_F12,434648.389,6478475.206,2016.92,10136.0,2306.0
15-9_F12,434646.205,6478474.236,2026.63,10136.0,2306.0
15-9_F12,434644.151,6478473.299,2036.37,10136.0,2306.0
15-9_F12,434642.247,6478472.4,2046.14,10136.0,2306.0
15-9_F12,434640.455,6478471.516,2055.94,10135.0,2306.0
15-9_F12,434638.746,6478470.631,2065.75,10135.0,2307.0
15-9_F12,434637.129,6478469.742,2075.58,10135.0,2307.0
15-9_F12,434635.619,6478468.832,2085.43,10135.0,2307.0
15-9_F12,434634.212,6478467.87,2095.28,10135.0,2307.0
15-9_F12,434632.902,6478466.842,2105.14,10135.0,2307.0
15-9_F12,434631.699,6478465.739,2115.0,10135.0,2307.0
15-9_F12,434630.611,6478464.56,2124.87,10135.0,2307.0
15-9_F12,434629.641,6478463.303,2134.75,10135.0,2307.0
15-9_F12,434628.797,6478461.977,2144.62,10134.0,2307.0
