Author,n (strains),publication title,journal,publication URL,strains
Odia et al,16,Lassa Virus Outbreak Genomics And Epidemiology From Nigeria,Unpublished,unknown,NGA/2016/ISTH_1311 NGA/2016/ISTH_1423 NGA/2016/ISTH_1610 NGA/2016/ISTH_1398 NGA/2016/ISTH_1250 NGA/2016/ISTH_1123 NGA/2016/ISTH_1006 NGA/2016/ISTH_1472 NGA/2016/ISTH_0703 NGA/2016/ISTH_0753 NGA/2016/ISTH_1174 NGA/2016/ISTH_0035 NGA/2016/ISTH_1568 NGA/2016/ISTH_0017 NGA/2016/ISTH_0919 NGA/2016/ISTH_1207
Safronetz et al,3,Geographic Distribution And Genetic Characterization Of Lassa Virus In Sub-saharan Mali,Plos Negl Trop Dis 7  12  E2582  2013 ,https://www.ncbi.nlm.nih.gov/pubmed/24340119,Bamba_R114 Soromba_R Komina_R16
Olayemi et al,9,New Hosts Of The Lassa Virus,Sci Rep 6 25280  2016 ,https://www.ncbi.nlm.nih.gov/pubmed/27140942,ONM_700 ONM_299 ONM_314 Mad41 Mad62 Mad39 Mad83 Mad69 Mad63
Rieger et al,1,Direct Submission,Submitted  23-mar-2016  Who Collaborating Centre For Arboviruses And Hemorrhagic Fever Reference And Research Bernhard Nocht Institute For Tropical Medicine Bernhard-nocht-str. 74 Hamburg 20359 Germany,unknown,Togo/2016/7082
Whitmer et al,1,New Lineage Of Lassa Virus Togo 2016,Emerging Infect. Dis. 24  3  599-602  2018 ,https://www.ncbi.nlm.nih.gov/pubmed/29460758,Lassa/TGO/2016/812939
Ehichioya et al,7,Current Molecular Epidemiology Of Lassa Virus In Nigeria,J. Clin. Microbiol. 49  3  1157-1161  2011 ,https://www.ncbi.nlm.nih.gov/pubmed/21191050,Nig08_A19 Nig08_A18 BA366 Nig08_04 Nig08_A47 Nig08_A37 Nig08_A41
Andersen et al,161,Whole Genome-sequencing From Clinical And Field Samples Uncovers Ancient Origins And Intra-host Evolution Of Lassa Virus,Unpublished,unknown,Pinneo_NIG_1969 G1442_SLE_2011 G1200_LIB_2010 G2141_SLE_2011 G2431_SLE_2012 G2363_SLE_2012 G3234_SLE_2013 G1529_SLE_2011 G2557_SLE_2012 G2615_SLE_2012 G2259_SLE_2012 G2723_SLE_2012 G3278_SLE_2013 G2263_SLE_2012 G733_SLE_2010 G2554_SLE_2012 G1618_SLE_2011 G1646_SLE_2011 G2427_SLE_2012 G3229_SLE_2013 G2392_SLE_2012 G3248_SLE_2013 G3151_SLE_2013 G3170_SLE_2013 G3010_SLE_2013 G1959_SLE_2011 G2318_SLE_2012 LM222_SLE_2010 G2184_SLE_2011 G2165_SLE_2011 G503_SLE_2009 G2147_SLE_2011 G502_SLE_2009 G1180_SLE_2010 LM032_SLE_2010 G2197_SLE_2011 G1960_SLE_2011 G2565_SLE_2012 G1792_SLE_2011 G610_SLE_2009 G771_SLE_2010 G693_SLE_2009 G2868_SLE_2012 G808_SLE_2010 G3206_SLE_2013 G2903_SLE_2012 G2315_SLE_2012 G636_SLE_2009 LM395_SLE_2009 G1774_SLE_2011 G2222_SLE_2011 G692_SLE_2009 G676_SLE_2009 G2405_SLE_2012 G1647_SLE_2011 G2587_SLE_2012 G2295_SLE_2012 G2612_SLE_2012 G2280_SLE_2012 G3016_SLE_2013 G3106_SLE_2013 Z0947_SLE_2011 Z0948_SLE_2011 G2944_SLE_2012 G1190_SLE_2010 G3148_SLE_2013 G1727_SLE_2011 ISTH2094_NIG_2012 ISTH2066_NIG_2012 ISTH2065_NIG_2012 ISTH1121_NIG_2012 ISTH2271_NIG_2012 ISTH1107_NIG_2012 966_NIG_2009 981_NIG_2009 ISTH2358_NIG_2012 ISTH0531_NIG_2011 254_NIG_2011 035_NIG_2009 1015_NIG_2009 ISTH2025_NIG_2012 ISTH1048_NIG_2011 045_NIG_2009 978_NIG_2009 225_NIG_2010 ISTH2316_NIG_2012 ISTH1003_NIG_2011 ISTH0073_NIG_2011 990_NIG_2009 ISTH0047_NIG_2011 989_NIG_2009 251_NIG_2010 982_NIG_2009 242_NIG_2010 253_NIG_2011 003_NIG_2008 ISTH2037_NIG_2012 ISTH1058_NIG_2011 271_NIG_2010 241_NIG_2011 993_NIG_2009 ISTH0012_NIG_2011 ISTH2046_NIG_2012 ISTH2020_NIG_2012 1008_NIG_2009 ISTH1069_NIG_2011 246_NIG_2010 ISTH2304_NIG_2012 ISTH1129_NIG_2012 239_NIG_2010 ISTH1111_NIG_2011 006_NIG_2008 049_NIG_2009 267_NIG_2010 991_NIG_2009 ISTH2050_NIG_2012 ISTH2376_NIG_2012 ISTH2031_NIG_2012 967_NIG_2009 971_NIG_2009 ISTH1096_NIG_2012 221_NIG_2010 977_NIG_2009 063_NIG_2009 052_NIG_2008 256_NIG_2010 ISTH0595_NIG_2011 042_NIG_2009 056_NIG_2008 ISTH1038_NIG_2011 ISTH2057_NIG_2012 058_NIG_2008 ISTH2129_NIG_2012 229_NIG_2010 ISTH1137_NIG_2011 ISTH2042_NIG_2012 046_NIG_2009 274_NIG_2010 719_NIG_2009 ISTH2010_NIG_2012 ISTH2016_NIG_2012 737_NIG_2009 1000_NIG_2009 1016_NIG_2009 976_NIG_2009 ISTH2312_NIG_2012 250_NIG_2011 1011_NIG_2009 245_NIG_2011 ISTH1064_NIG_2011 ISTH2334_NIG_2012 263_NIG_2011 975_NIG_2009 ISTH2217_NIG_2012 ISTH2061_NIG_2012 237_NIG_2010 711_NIG_2009 992_NIG_2009 ISTH0230_NIG_2011 ISTH0009_NIG_2011 979_NIG_2009
Rossi et al,1,Direct Submission,Submitted  24-mar-2016  Microbiology And Immunology University Of Texas Medical Branch 301 University Boulevard Galveston Tx 77555 Usa,unknown,NIGERIA_IKEJI
