"Col1","Since Launch","1 Mth","3 Mths","YTD","1 Yr","3 Yrs","5 Yrs","10 Yrs"
"","Since Launch","1 Mth","3 Mths","YTD","1 Yr","3 Yrs","5 Yrs","10 Yrs"
"Base Shares","23.87","0.22","0.61","0.61","3.65","'-0.82","1.89","2.25"
"3 Month Libor (USD)","15.96","0.1","0.27","0.27","0.87","0.51","0.43","1.07"
"Other Currency Shares (EUR-Hedged)","20.09","0.06","0.21","0.21","2.24","'-1.48","1.46","2.09"
"ICE Libor EUR 3 Month (EUR)","15.7","'-0.03","'-0.09","'-0.09","'-0.32","'-0.09","0.04","1.19"
"Other Currency Shares (GBP-Hedged)","27.77","0.16","0.45","0.45","3.19","'-0.86","2.03","2.54"
"3 Month LIBOR - GBP","21.76","0.03","0.09","0.09","0.44","0.53","0.56","1.61"
