Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start_X,Start_Y,End_X,End_Y
Away,RECOVERY,INTERCEPTION,1,20666,826.64,20666,826.64,17,,0.49,0.9,NaN,NaN
Away,PASS,,1,20666,826.64,20716,828.64,17,22,0.49,0.9,0.64,0.87
Away,PASS,,1,20834,833.36,20850,834,22,20,0.59,0.82,0.61,0.73
Away,PASS,,1,20904,836.16,20960,838.4,20,15,0.61,0.68,0.62,0.29
Away,PASS,,1,21063,842.52,21086,843.44,15,21,0.5,0.23,0.44,0.21
Away,PASS,,1,21128,845.12,21162,846.48,21,23,0.47,0.23,0.35,0.22
Away,PASS,,1,21294,851.76,21318,852.72,23,21,0.38,0.25,0.42,0.2
Away,PASS,,1,21362,854.48,21386,855.44,21,20,0.42,0.24,0.37,0.38
Away,PASS,,1,21413,856.52,21437,857.48,20,19,0.35,0.36,0.32,0.47
Away,BALL LOST,INTERCEPTION,1,21437,857.48,21473,858.92,19,,0.32,0.47,0.33,0.11
Home,RECOVERY,INTERCEPTION,1,21471,858.84,21471,858.84,8,,0.34,0.21,NaN,NaN
Home,BALL LOST,HEAD,1,21471,858.84,21515,860.6,8,,0.34,0.21,0.38,0.41
Away,RECOVERY,,1,21515,860.6,21515,860.6,19,,0.39,0.46,NaN,NaN
Away,PASS,,1,21515,860.6,21549,861.96,19,16,0.39,0.46,0.53,0.43
Away,PASS,,1,21580,863.2,21633,865.32,16,17,0.53,0.47,0.48,0.78
Away,PASS,,1,21716,868.64,21746,869.84,17,16,0.46,0.77,0.58,0.62
Away,PASS,,1,21811,872.44,21870,874.8,16,22,0.56,0.6,0.28,0.97
Away,BALL OUT,,1,21886,875.44,21983,879.32,22,,0.25,0.97,-0.04,0.73
Home,RECOVERY,,1,22578,903.12,22578,903.12,11,,0.04,0.51,NaN,NaN
Home,BALL LOST,GOAL KICK-INTERCEPTION,1,22578,903.12,22661,906.44,11,,0.04,0.51,0.6,0.87
Away,CHALLENGE,AERIAL-WON,1,22660,906.4,22660,906.4,22,,0.55,0.91,NaN,NaN
Away,RECOVERY,INTERCEPTION,1,22660,906.4,22660,906.4,22,,0.55,0.91,NaN,NaN
Away,BALL LOST,HEAD,1,22660,906.4,22663,906.52,22,,0.55,0.91,0.57,0.87
Home,CHALLENGE,AERIAL-LOST,1,22661,906.44,22661,906.44,9,,0.54,0.9,NaN,NaN
Home,RECOVERY,,1,22665,906.6,22665,906.6,9,,0.54,0.91,NaN,NaN
Home,BALL LOST,,1,22665,906.6,22674,906.96,9,,0.54,0.91,0.6,0.91
Away,RECOVERY,,1,22677,907.08,22677,907.08,22,,0.54,0.94,NaN,NaN
Away,BALL LOST,,1,22681,907.24,22737,909.48,22,,0.54,0.94,0.55,0.67
Home,RECOVERY,INTERCEPTION,1,22738,909.52,22738,909.52,6,,0.53,0.69,NaN,NaN
Home,BALL LOST,,1,22738,909.52,22747,909.88,6,,0.53,0.69,0.57,0.63
Away,RECOVERY,INTERCEPTION,1,22746,909.84,22746,909.84,21,,0.55,0.6,NaN,NaN
Away,PASS,,1,22746,909.84,22795,911.8,21,19,0.55,0.6,0.6,0.72
Away,PASS,,1,22795,911.8,22814,912.56,19,16,0.6,0.72,0.69,0.62
Away,PASS,,1,22814,912.56,22835,913.4,16,21,0.69,0.62,0.6,0.57
Away,PASS,,1,22996,919.84,23044,921.76,21,15,0.59,0.39,0.56,0.17
Away,PASS,,1,23061,922.44,23085,923.4,15,21,0.55,0.18,0.48,0.32
Away,PASS,,1,23146,925.84,23174,926.96,21,20,0.44,0.42,0.52,0.63
Away,PASS,,1,23193,927.72,23239,929.56,20,17,0.51,0.64,0.46,0.92
Away,PASS,,1,23305,932.2,23320,932.8,17,21,0.41,0.88,0.38,0.75
Away,PASS,,1,23320,932.8,23344,933.76,21,20,0.38,0.75,0.48,0.79
Away,PASS,,1,23344,933.76,23388,935.52,20,16,0.48,0.79,0.54,0.58
Away,PASS,,1,23500,940,23529,941.16,16,15,0.52,0.5,0.5,0.29
Away,PASS,,1,23578,943.12,23613,944.52,15,18,0.47,0.25,0.3,0.02
Away,PASS,,1,23683,947.32,23720,948.8,18,21,0.26,0.09,0.31,0.33
Away,PASS,,1,23729,949.16,23748,949.92,21,19,0.31,0.34,0.22,0.4
Away,PASS,,1,23748,949.92,23766,950.64,19,21,0.22,0.4,0.28,0.34
Away,CHALLENGE,GROUND-WON,1,23812,952.48,23812,952.48,21,,0.29,0.33,NaN,NaN
Home,CHALLENGE,GROUND-LOST,1,23812,952.48,23812,952.48,8,,0.29,0.33,NaN,NaN
Away,BALL LOST,INTERCEPTION,1,23846,953.84,23862,954.48,21,,0.3,0.38,0.31,0.45
Home,RECOVERY,,1,23860,954.4,23860,954.4,9,,0.32,0.49,NaN,NaN
Home,PASS,,1,23860,954.4,23873,954.92,9,6,0.32,0.49,0.3,0.45
Home,BALL LOST,INTERCEPTION,1,23903,956.12,23909,956.36,6,,0.3,0.48,0.29,0.59
Away,RECOVERY,INTERCEPTION,1,23909,956.36,23909,956.36,19,,0.31,0.52,NaN,NaN
Away,PASS,,1,23909,956.36,23942,957.68,19,24,0.31,0.52,0.3,0.47
Away,PASS,,1,23958,958.32,23977,959.08,24,18,0.3,0.44,0.29,0.31
Away,BALL LOST,,1,24026,961.04,24036,961.44,18,,0.27,0.42,0.25,0.52
Home,RECOVERY,,1,24035,961.4,24035,961.4,6,,0.24,0.5,NaN,NaN
Home,PASS,,1,24035,961.4,24072,962.88,6,4,0.24,0.5,0.18,0.37
Home,PASS,,1,24072,962.88,24098,963.92,4,2,0.18,0.37,0.15,0.54
Home,BALL LOST,,1,24098,963.92,24186,967.44,2,,0.15,0.54,0.47,0.54
Away,RECOVERY,,1,24186,967.44,24186,967.44,16,,0.49,0.54,NaN,NaN
Away,PASS,,1,24186,967.44,24218,968.72,16,19,0.49,0.54,0.34,0.65
Away,PASS,,1,24218,968.72,24239,969.56,19,21,0.34,0.65,0.35,0.5
Away,PASS,,1,24266,970.64,24287,971.48,21,19,0.34,0.53,0.35,0.66
Away,PASS,,1,24308,972.32,24383,975.32,19,23,0.33,0.66,0.18,0.12
Away,PASS,,1,24393,975.72,24433,977.32,23,18,0.19,0.11,0.12,0.17
Away,BALL LOST,INTERCEPTION,1,24433,977.32,24486,979.44,18,,0.12,0.17,0.09,0.11
Away,CHALLENGE,GROUND-LOST,1,24448,977.92,24448,977.92,18,,0.1,0.16,NaN,NaN
Home,CHALLENGE,GROUND-WON,1,24450,978,24450,978,8,,0.09,0.16,NaN,NaN
Home,RECOVERY,INTERCEPTION,1,24486,979.44,24486,979.44,8,,0.07,0.11,NaN,NaN
Home,BALL LOST,,1,24551,982.04,24560,982.4,8,,0.16,0.03,0.25,0.05
Away,RECOVERY,,1,24556,982.24,24556,982.24,23,,0.18,0.05,NaN,NaN
Away,BALL OUT,,1,24556,982.24,24591,983.64,23,,0.18,0.05,0.29,-0.04
Home,SET PIECE,THROW IN,1,24980,999.2,24980,999.2,4,,NaN,NaN,NaN,NaN
Home,PASS,,1,24980,999.2,25031,1001.24,4,10,0.26,-0.01,0.34,0.1
Away,CHALLENGE,GROUND-FAULT-LOST,1,25074,1002.96,25074,1002.96,20,,0.36,0.19,NaN,NaN
Home,CHALLENGE,GROUND-FAULT-WON,1,25087,1003.48,25087,1003.48,10,,0.36,0.26,NaN,NaN
Home,FAULT RECEIVED,,1,25087,1003.48,25087,1003.48,10,,0.36,0.26,NaN,NaN
Home,SET PIECE,FREE KICK,1,25476,1019.04,25476,1019.04,7,,NaN,NaN,NaN,NaN
Home,PASS,,1,25476,1019.04,25517,1020.68,7,6,0.42,0.37,0.39,0.64
Home,PASS,,1,25546,1021.84,25578,1023.12,6,1,0.4,0.67,0.48,0.94
Home,CHALLENGE,DRIBBLE-WON,1,25595,1023.8,25595,1023.8,1,,0.5,0.94,NaN,NaN
Home,BALL LOST,INTERCEPTION,1,25704,1028.16,25705,1028.2,1,,0.73,0.95,0.76,0.93
Away,RECOVERY,INTERCEPTION,1,25705,1028.2,25705,1028.2,22,,0.73,0.94,NaN,NaN
Away,BALL OUT,,1,25705,1028.2,25773,1030.92,22,,0.73,0.94,1.04,0.93
Home,SET PIECE,CORNER KICK,1,26544,1061.76,26544,1061.76,6,,NaN,NaN,NaN,NaN
Home,PASS,,1,26544,1061.76,26590,1063.6,6,10,0.97,0.98,0.86,0.66
Home,PASS,,1,26590,1063.6,26608,1064.32,10,8,0.86,0.66,0.95,0.53
Home,SHOT,HEAD-OFF TARGET-OUT,1,26608,1064.32,26636,1065.44,8,,0.95,0.53,1.03,0.47
Away,RECOVERY,,1,27247,1089.88,27247,1089.88,25,,0.95,0.46,NaN,NaN
Away,BALL LOST,GOAL KICK-INTERCEPTION,1,27247,1089.88,27330,1093.2,25,,0.95,0.46,0.44,0.12
Home,CHALLENGE,AERIAL-WON,1,27329,1093.16,27329,1093.16,4,,0.45,0.18,NaN,NaN
Home,RECOVERY,INTERCEPTION,1,27329,1093.16,27329,1093.16,4,,0.45,0.18,NaN,NaN
Home,BALL LOST,HEAD,1,27329,1093.16,27415,1096.6,4,,0.45,0.18,0.46,0.55
Away,CHALLENGE,AERIAL-LOST,1,27330,1093.2,27330,1093.2,18,,0.46,0.17,NaN,NaN
Away,RECOVERY,,1,27412,1096.48,27412,1096.48,21,,0.45,0.53,NaN,NaN
Away,PASS,,1,27412,1096.48,27456,1098.24,21,22,0.45,0.53,0.36,0.89
Away,PASS,,1,27534,1101.36,27557,1102.28,22,21,0.31,0.92,0.36,0.82
Away,PASS,,1,27578,1103.12,27601,1104.04,21,23,0.34,0.82,0.23,0.78
Away,PASS,,1,27609,1104.36,27624,1104.96,23,21,0.24,0.78,0.28,0.83
Away,PASS,,1,27657,1106.28,27673,1106.92,21,19,0.27,0.8,0.31,0.72
Away,BALL LOST,INTERCEPTION,1,27711,1108.44,27724,1108.96,19,,0.28,0.72,0.23,0.84
Home,RECOVERY,INTERCEPTION,1,27724,1108.96,27724,1108.96,5,,0.22,0.84,NaN,NaN
Home,PASS,,1,27724,1108.96,27746,1109.84,5,1,0.22,0.84,0.15,0.79
Home,PASS,,1,27778,1111.12,27797,1111.88,1,5,0.17,0.8,0.23,0.9
Home,PASS,,1,27797,1111.88,27839,1113.56,5,7,0.23,0.9,0.29,0.79
Home,PASS,,1,27839,1113.56,27870,1114.8,7,5,0.29,0.79,0.38,0.92
Home,PASS,,1,27942,1117.68,27991,1119.64,5,8,0.54,0.73,0.63,0.3
Home,BALL LOST,,1,28079,1123.16,28107,1124.28,8,,0.83,0.25,0.98,0.5
Away,RECOVERY,,1,28106,1124.24,28106,1124.24,25,,0.98,0.48,NaN,NaN
Away,PASS,,1,28339,1133.56,28407,1136.28,25,21,0.86,0.55,0.63,0.97
Away,BALL LOST,INTERCEPTION,1,28527,1141.08,28589,1143.56,21,,0.42,0.96,0.13,0.87
Home,RECOVERY,INTERCEPTION,1,28586,1143.44,28586,1143.44,2,,0.17,0.82,NaN,NaN
Home,BALL OUT,CLEARANCE,1,28586,1143.44,28605,1144.2,2,,0.17,0.82,0.13,1.03
Away,SET PIECE,THROW IN,1,28788,1151.52,28788,1151.52,21,,NaN,NaN,NaN,NaN
Away,PASS,,1,28788,1151.52,28811,1152.44,21,22,0.19,1.01,0.25,0.98
Away,PASS,,1,28858,1154.32,28885,1155.4,22,19,0.26,0.95,0.29,0.77
Away,PASS,,1,28917,1156.68,28943,1157.72,19,22,0.28,0.79,0.26,0.95
Away,PASS,,1,28956,1158.24,28982,1159.28,22,21,0.26,0.94,0.17,0.98
Away,BALL LOST,CROSS-INTERCEPTION,1,29016,1160.64,29061,1162.44,21,,0.16,0.96,0.09,0.44
Home,RECOVERY,INTERCEPTION,1,29063,1162.52,29063,1162.52,2,,0.13,0.71,NaN,NaN
Home,PASS,,1,29063,1162.52,29096,1163.84,2,9,0.13,0.71,0.27,0.6
Home,PASS,,1,29096,1163.84,29112,1164.48,9,6,0.27,0.6,0.2,0.56
Home,PASS,,1,29208,1168.32,29242,1169.68,6,3,0.2,0.52,0.16,0.36
Home,BALL LOST,INTERCEPTION,1,29264,1170.56,29301,1172.04,3,,0.19,0.31,0.33,0.05
Away,RECOVERY,INTERCEPTION,1,29301,1172.04,29301,1172.04,18,,0.32,0.11,NaN,NaN
Away,PASS,,1,29337,1173.48,29367,1174.68,18,24,0.28,0.06,0.21,0.19
Away,PASS,,1,29394,1175.76,29420,1176.8,24,19,0.22,0.19,0.28,0.35
Away,PASS,,1,29468,1178.72,29517,1180.68,19,18,0.26,0.39,0.12,0.07
Away,BALL LOST,OFFSIDE,1,29517,1180.68,29517,1180.68,18,,0.12,0.07,NaN,NaN
Home,SET PIECE,FREE KICK,1,30368,1214.72,30368,1214.72,11,,NaN,NaN,NaN,NaN
Home,BALL LOST,INTERCEPTION,1,30368,1214.72,30442,1217.68,11,,0.16,0.18,0.67,0.13
Away,RECOVERY,INTERCEPTION,1,30442,1217.68,30442,1217.68,15,,0.67,0.21,NaN,NaN
Away,PASS,HEAD,1,30442,1217.68,30483,1219.32,15,19,0.67,0.21,0.61,0.34
Away,BALL LOST,INTERCEPTION,1,30503,1220.12,30517,1220.68,19,,0.61,0.37,0.62,0.38
Home,RECOVERY,,1,30518,1220.72,30518,1220.72,6,,0.6,0.4,NaN,NaN
Home,PASS,,1,30593,1223.72,30628,1225.12,6,10,0.59,0.61,0.62,0.75
Home,PASS,,1,30655,1226.2,30686,1227.44,10,5,0.65,0.77,0.69,0.94
Home,PASS,,1,30708,1228.32,30729,1229.16,5,6,0.69,0.93,0.61,0.84
Home,PASS,,1,30729,1229.16,30753,1230.12,6,10,0.61,0.84,0.7,0.72
Home,CHALLENGE,TACKLE-LOST,1,30807,1232.28,30807,1232.28,10,,0.76,0.66,NaN,NaN
Home,BALL LOST,THEFT,1,30807,1232.28,30807,1232.28,10,,0.76,0.66,NaN,NaN
Away,CHALLENGE,TACKLE-WON,1,30807,1232.28,30807,1232.28,19,,0.76,0.66,NaN,NaN
Away,RECOVERY,THEFT,1,30807,1232.28,30807,1232.28,19,,0.76,0.66,NaN,NaN
Away,PASS,,1,30807,1232.28,30831,1233.24,19,21,0.76,0.66,0.77,0.63
Away,BALL LOST,INTERCEPTION,1,30867,1234.68,30898,1235.92,21,,0.75,0.62,0.6,0.8
Home,RECOVERY,INTERCEPTION,1,30897,1235.88,30897,1235.88,1,,0.6,0.8,NaN,NaN
Home,PASS,,1,30933,1237.32,30963,1238.52,1,7,0.6,0.74,0.59,0.62
Home,PASS,,1,30990,1239.6,31017,1240.68,7,9,0.61,0.61,0.65,0.49
Home,PASS,,1,31037,1241.48,31076,1243.04,9,4,0.67,0.45,0.68,0.19
Home,PASS,,1,31160,1246.4,31190,1247.6,4,7,0.81,0.28,0.75,0.37
Home,SHOT,OFF TARGET-OUT,1,31190,1247.6,31235,1249.4,7,,0.75,0.37,1.05,0.59
Away,RECOVERY,,1,31546,1261.84,31546,1261.84,25,,0.96,0.62,NaN,NaN
Away,PASS,GOAL KICK,1,31546,1261.84,31597,1263.88,25,17,0.96,0.62,0.89,0.88
Away,PASS,,1,31709,1268.36,31733,1269.32,17,20,0.69,0.88,0.65,0.67
Away,BALL LOST,,1,31738,1269.52,31743,1269.72,20,,0.64,0.67,0.66,0.69
Home,RECOVERY,,1,31743,1269.72,31743,1269.72,10,,0.66,0.65,NaN,NaN
Home,BALL LOST,,1,31743,1269.72,31820,1272.8,10,,0.66,0.65,0.77,0.83
Away,RECOVERY,,1,31820,1272.8,31820,1272.8,17,,0.77,0.87,NaN,NaN
Home,CHALLENGE,GROUND-FAULT-LOST,1,31900,1276,31900,1276,10,,0.72,0.96,NaN,NaN
Away,CHALLENGE,GROUND-FAULT-WON,1,31901,1276.04,31901,1276.04,17,,0.72,0.98,NaN,NaN
Away,FAULT RECEIVED,,1,31901,1276.04,31901,1276.04,17,,0.72,0.98,NaN,NaN
Away,SET PIECE,FREE KICK,1,32338,1293.52,32338,1293.52,17,,NaN,NaN,NaN,NaN
Away,PASS,,1,32338,1293.52,32397,1295.88,17,16,0.71,0.96,0.76,0.53
Away,PASS,,1,32434,1297.36,32467,1298.68,16,15,0.74,0.47,0.65,0.24
Away,PASS,,1,32619,1304.76,32657,1306.28,15,16,0.5,0.2,0.6,0.4
Away,PASS,,1,32739,1309.56,32809,1312.36,16,17,0.57,0.46,0.51,0.94
Away,BALL OUT,,1,32854,1314.16,32948,1317.92,17,,0.49,0.9,-0.04,0.87
Home,RECOVERY,,1,33645,1345.8,33645,1345.8,11,,0.04,0.5,NaN,NaN
Home,BALL LOST,GOAL KICK-INTERCEPTION,1,33645,1345.8,33723,1348.92,11,,0.04,0.5,0.61,0.85
Away,RECOVERY,INTERCEPTION,1,33723,1348.92,33723,1348.92,22,,0.57,0.86,NaN,NaN
Away,BALL LOST,HEAD-INTERCEPTION,1,33723,1348.92,33777,1351.08,22,,0.57,0.86,0.51,0.86
Home,RECOVERY,,1,33775,1351,33775,1351,1,,0.49,0.92,NaN,NaN
Home,BALL LOST,,1,33823,1352.92,33846,1353.84,1,,0.57,0.98,0.62,0.83
Away,RECOVERY,,1,33846,1353.84,33846,1353.84,20,,0.62,0.86,NaN,NaN
Away,PASS,,1,33863,1354.52,33880,1355.2,20,19,0.61,0.87,0.57,0.8
Away,BALL LOST,INTERCEPTION,1,33880,1355.2,33895,1355.8,19,,0.57,0.8,0.53,0.88
Home,RECOVERY,INTERCEPTION,1,33894,1355.76,33894,1355.76,6,,0.51,0.92,NaN,NaN
Home,BALL OUT,,1,33894,1355.76,33915,1356.6,6,,0.51,0.92,0.53,1.04
Away,SET PIECE,THROW IN,1,34161,1366.44,34161,1366.44,22,,NaN,NaN,NaN,NaN
Away,PASS,,1,34161,1366.44,34205,1368.2,22,17,0.48,1.01,0.67,0.95
Away,PASS,,1,34233,1369.32,34266,1370.64,17,16,0.66,0.91,0.7,0.54
Away,PASS,,1,34298,1371.92,34338,1373.52,16,15,0.68,0.48,0.64,0.2
Away,PASS,,1,34397,1375.88,34466,1378.64,15,22,0.61,0.22,0.35,0.97
Away,PASS,,1,34515,1380.6,34590,1383.6,22,21,0.32,0.97,0.09,0.85
Away,BALL LOST,CROSS-INTERCEPTION,1,34619,1384.76,34644,1385.76,21,,0.07,0.82,0.04,0.56
Home,RECOVERY,INTERCEPTION,1,34645,1385.8,34645,1385.8,3,,0.05,0.53,NaN,NaN
Home,PASS,HEAD,1,34645,1385.8,34711,1388.44,3,11,0.05,0.53,0.07,0.47
Home,PASS,,1,34821,1392.84,34863,1394.52,11,4,0.09,0.47,0.16,0.22
Home,BALL LOST,,1,34980,1399.2,35042,1401.68,4,,0.27,0.04,0.54,0.45
Away,RECOVERY,,1,35041,1401.64,35041,1401.64,17,,0.53,0.45,NaN,NaN
Away,PASS,,1,35083,1403.32,35102,1404.08,17,20,0.5,0.44,0.44,0.32
Away,PASS,,1,35188,1407.52,35224,1408.96,20,18,0.35,0.28,0.32,0.03
Away,PASS,,1,35313,1412.52,35360,1414.4,18,19,0.3,0.06,0.43,0.3
Away,PASS,,1,35439,1417.56,35503,1420.12,19,17,0.43,0.4,0.43,0.8
Away,PASS,,1,35503,1420.12,35539,1421.56,17,22,0.43,0.8,0.28,0.97
Away,BALL OUT,,1,35592,1423.68,35686,1427.44,22,,0.31,0.92,-0.04,0.82
Home,RECOVERY,,1,36212,1448.48,36212,1448.48,11,,0.01,0.5,NaN,NaN
Home,BALL LOST,INTERCEPTION,1,36212,1448.48,36335,1453.4,11,,0.01,0.5,0.58,0.25
Home,CHALLENGE,AERIAL-LOST,1,36335,1453.4,36335,1453.4,8,,0.57,0.26,NaN,NaN
Away,CHALLENGE,AERIAL-WON,1,36335,1453.4,36335,1453.4,15,,0.58,0.26,NaN,NaN
Away,RECOVERY,INTERCEPTION,1,36335,1453.4,36335,1453.4,15,,0.58,0.26,NaN,NaN
Away,BALL LOST,INTERCEPTION,1,36335,1453.4,36365,1454.6,15,,0.58,0.26,0.56,0.26
Home,RECOVERY,INTERCEPTION,1,36370,1454.8,36370,1454.8,8,,0.56,0.24,NaN,NaN
Home,CHALLENGE,GROUND-LOST,1,36410,1456.4,36410,1456.4,8,,0.59,0.12,NaN,NaN
Home,BALL LOST,INTERCEPTION,1,36410,1456.4,36410,1456.4,8,,0.59,0.12,NaN,NaN
Away,CHALLENGE,TACKLE-WON,1,36414,1456.56,36414,1456.56,15,,0.6,0.12,NaN,NaN
Away,RECOVERY,THEFT,1,36414,1456.56,36414,1456.56,15,,0.6,0.12,NaN,NaN
Away,BALL OUT,,1,36414,1456.56,36461,1458.44,15,,0.6,0.12,0.52,-0.04
Home,SET PIECE,THROW IN,1,36535,1461.4,36535,1461.4,4,,NaN,NaN,NaN,NaN
Home,PASS,,1,36535,1461.4,36618,1464.72,4,3,0.46,0.01,0.29,0.24
Home,PASS,,1,36618,1464.72,36691,1467.64,3,1,0.29,0.24,0.35,0.76
Home,PASS,,1,36691,1467.64,36718,1468.72,1,10,0.35,0.76,0.45,0.68
Home,BALL OUT,,1,36718,1468.72,36762,1470.48,10,,0.45,0.68,0.47,1.01
Away,SET PIECE,THROW IN,1,36880,1475.2,36880,1475.2,22,,NaN,NaN,NaN,NaN
Away,PASS,,1,36880,1475.2,36907,1476.28,22,17,0.49,1.01,0.59,0.94
Away,PASS,,1,36956,1478.24,36996,1479.84,17,16,0.58,0.89,0.65,0.66
Away,PASS,,1,37027,1481.08,37082,1483.28,16,15,0.64,0.63,0.6,0.27
Away,PASS,,1,37127,1485.08,37155,1486.2,15,18,0.55,0.21,0.38,0
Away,PASS,,1,37182,1487.28,37194,1487.76,18,19,0.38,0,0.44,0.13
Away,PASS,,1,37215,1488.6,37235,1489.4,19,20,0.43,0.11,0.38,0.25
Away,CHALLENGE,GROUND-WON,1,37303,1492.12,37303,1492.12,20,,0.27,0.24,NaN,NaN
Home,CHALLENGE,GROUND-LOST,1,37308,1492.32,37308,1492.32,7,,0.26,0.24,NaN,NaN
Home,CHALLENGE,GROUND-LOST,1,37341,1493.64,37341,1493.64,8,,0.19,0.2,NaN,NaN
Away,CHALLENGE,GROUND-WON,1,37351,1494.04,37351,1494.04,20,,0.19,0.23,NaN,NaN
Away,BALL LOST,INTERCEPTION,1,37382,1495.28,37382,1495.28,20,,0.16,0.22,NaN,NaN
Away,CHALLENGE,TACKLE-FAULT-LOST,1,37382,1495.28,37382,1495.28,20,,0.16,0.22,NaN,NaN
Home,CHALLENGE,TACKLE-FAULT-WON,1,37386,1495.44,37386,1495.44,4,,0.13,0.19,NaN,NaN
Home,SET PIECE,FREE KICK,1,38142,1525.68,38142,1525.68,11,,NaN,NaN,NaN,NaN
Home,BALL LOST,,1,38142,1525.68,38232,1529.28,11,,0.12,0.14,0.7,0.39
Home,CHALLENGE,AERIAL-LOST,1,38232,1529.28,38232,1529.28,9,,0.67,0.4,NaN,NaN
Away,CHALLENGE,AERIAL-WON,1,38234,1529.36,38234,1529.36,16,,0.68,0.39,NaN,NaN
Away,RECOVERY,INTERCEPTION,1,38234,1529.36,38234,1529.36,16,,0.68,0.39,NaN,NaN
Away,PASS,,1,38234,1529.36,38275,1531,16,21,0.68,0.39,0.58,0.43
Away,PASS,,1,38275,1531,38288,1531.52,21,19,0.58,0.43,0.6,0.38
Home,CHALLENGE,TACKLE-WON,1,38313,1532.52,38313,1532.52,6,,0.59,0.39,NaN,NaN
Home,RECOVERY,THEFT,1,38313,1532.52,38313,1532.52,6,,0.59,0.39,NaN,NaN
Away,CHALLENGE,TACKLE-LOST,1,38317,1532.68,38317,1532.68,19,,0.61,0.37,NaN,NaN
Away,BALL LOST,THEFT,1,38317,1532.68,38317,1532.68,19,,0.61,0.37,NaN,NaN
Home,PASS,,1,38324,1532.96,38341,1533.64,6,9,0.6,0.39,0.62,0.37
Home,PASS,,1,38373,1534.92,38388,1535.52,9,7,0.63,0.33,0.54,0.38
Home,PASS,,1,38419,1536.76,38457,1538.28,7,1,0.54,0.41,0.55,0.75
Away,RECOVERY,INTERCEPTION,1,38457,1538.28,38457,1538.28,22,,0.59,0.75,NaN,NaN
Away,CHALLENGE,TACKLE-FAULT-LOST,1,38457,1538.28,38457,1538.28,22,,0.59,0.75,NaN,NaN
Home,CHALLENGE,TACKLE-FAULT-WON,1,38461,1538.44,38461,1538.44,1,,0.55,0.75,NaN,NaN
Home,FAULT RECEIVED,,1,38478,1539.12,38478,1539.12,1,,0.56,0.76,NaN,NaN
Home,SET PIECE,FREE KICK,1,42476,1699.04,42476,1699.04,6,,NaN,NaN,NaN,NaN
Home,PASS,,1,42476,1699.04,42495,1699.8,6,10,0.56,0.73,0.56,0.97
Home,PASS,,1,42495,1699.8,42524,1700.96,10,7,0.56,0.97,0.47,0.94
Home,PASS,,1,42539,1701.56,42567,1702.68,7,2,0.47,0.94,0.36,0.82
Home,PASS,,1,42591,1703.64,42623,1704.92,2,7,0.36,0.81,0.42,0.96
Home,BALL LOST,,1,42660,1706.4,42715,1708.6,7,,0.41,0.96,0.75,0.64
Away,RECOVERY,INTERCEPTION,1,42718,1708.72,42718,1708.72,16,,0.7,0.67,NaN,NaN
Away,BALL OUT,HEAD,1,42718,1708.72,42768,1710.72,16,,0.7,0.67,0.69,1.02
Home,SET PIECE,THROW IN,1,43113,1724.52,43113,1724.52,7,,NaN,NaN,NaN,NaN
Home,PASS,,1,43113,1724.52,43132,1725.28,7,10,0.65,1.01,0.71,0.96
Home,PASS,,1,43132,1725.28,43151,1726.04,10,7,0.71,0.96,0.65,1
Home,CHALLENGE,GROUND-WON,1,43171,1726.84,43171,1726.84,7,,0.63,0.98,NaN,NaN
Home,PASS,,1,43214,1728.56,43239,1729.56,7,2,0.56,0.91,0.45,0.95
Home,BALL LOST,INTERCEPTION,1,43270,1730.8,43324,1732.96,2,,0.45,0.95,0.75,0.76
Home,CHALLENGE,GROUND,1,43307,1732.28,43307,1732.28,9,,0.71,0.77,NaN,NaN
Away,CHALLENGE,GROUND,1,43314,1732.56,43314,1732.56,16,,0.71,0.79,NaN,NaN
Away,RECOVERY,INTERCEPTION,1,43325,1733,43325,1733,17,,0.73,0.83,NaN,NaN
Away,PASS,HEAD,1,43325,1733,43354,1734.16,17,22,0.73,0.83,0.64,0.92
Home,CHALLENGE,GROUND-FAULT-WON,1,43439,1737.56,43439,1737.56,10,,0.59,0.93,NaN,NaN
Away,CHALLENGE,GROUND-FAULT-LOST,1,43455,1738.2,43455,1738.2,22,,0.57,0.94,NaN,NaN
Away,PASS,,1,43469,1738.76,43485,1739.4,22,21,0.55,0.96,0.46,0.91
Away,BALL LOST,FORCED,1,43485,1739.4,43485,1739.4,21,,0.46,0.91,NaN,NaN
Home,SET PIECE,FREE KICK,1,44270,1770.8,44270,1770.8,7,,NaN,NaN,NaN,NaN
Home,BALL LOST,INTERCEPTION,1,44270,1770.8,44355,1774.2,7,,0.48,0.95,0.84,0.42
Away,RECOVERY,INTERCEPTION,1,44354,1774.16,44354,1774.16,18,,0.81,0.45,NaN,NaN
Away,BALL LOST,HEAD,1,44354,1774.16,44402,1776.08,18,,0.81,0.45,0.75,0.39
Home,RECOVERY,,1,44400,1776,44400,1776,5,,0.73,0.42,NaN,NaN
Away,CHALLENGE,GROUND-WON,1,44426,1777.04,44426,1777.04,18,,0.82,0.39,NaN,NaN
Away,RECOVERY,INTERCEPTION,1,44426,1777.04,44426,1777.04,18,,0.82,0.39,NaN,NaN
Away,BALL LOST,,1,44426,1777.04,44504,1780.16,18,,0.82,0.39,0.64,0.16
Home,CHALLENGE,GROUND-LOST,1,44429,1777.16,44429,1777.16,5,,0.8,0.39,NaN,NaN
