Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start_X,Start_Y,End_X,End_Y
Home,BALL LOST,INTERCEPTION,1,5316,212.64,5384,215.36,1,,0.26,0.96,0.64,0.88
Away,RECOVERY,INTERCEPTION,1,5385,215.4,5385,215.4,17,,0.59,0.89,NaN,NaN
Away,PASS,HEAD,1,5385,215.4,5412,216.48,17,20,0.59,0.89,0.54,0.85
Away,PASS,,1,5431,217.24,5471,218.84,20,18,0.55,0.83,0.45,0.5
Away,BALL LOST,,1,5507,220.28,5517,220.68,18,,0.38,0.47,0.28,0.41
Home,RECOVERY,,1,5520,220.8,5520,220.8,4,,0.3,0.43,NaN,NaN
Home,BALL LOST,INTERCEPTION,1,5520,220.8,5550,222,4,,0.3,0.43,0.28,0.52
Away,RECOVERY,INTERCEPTION,1,5549,221.96,5549,221.96,18,,0.29,0.49,NaN,NaN
Home,CHALLENGE,TACKLE-WON,1,5627,225.08,5627,225.08,1,,0.14,0.6,NaN,NaN
Home,RECOVERY,THEFT,1,5627,225.08,5627,225.08,1,,0.14,0.6,NaN,NaN
Home,PASS,,1,5627,225.08,5663,226.52,1,2,0.14,0.6,0.18,0.53
Away,CHALLENGE,TACKLE-LOST,1,5628,225.12,5628,225.12,18,,0.15,0.56,NaN,NaN
Away,BALL LOST,THEFT,1,5628,225.12,5628,225.12,18,,0.15,0.56,NaN,NaN
Home,PASS,,1,5663,226.52,5685,227.4,2,8,0.18,0.53,0.24,0.4
Home,PASS,,1,5761,230.44,5809,232.36,8,10,0.39,0.29,0.6,0.09
Home,SHOT,OFF TARGET-OUT,1,5923,236.92,5953,238.12,10,,0.84,0.27,1.04,0.6
Away,RECOVERY,,1,6685,267.4,6685,267.4,25,,0.95,0.45,NaN,NaN
Away,PASS,GOAL KICK,1,6685,267.4,6779,271.16,25,18,0.95,0.45,0.53,0.04
Away,BALL LOST,HEAD,1,6779,271.16,6844,273.76,18,,0.53,0.04,0.57,0.31
Home,RECOVERY,,1,6844,273.76,6844,273.76,6,,0.54,0.3,NaN,NaN
Away,CHALLENGE,GROUND-WON,1,6863,274.52,6863,274.52,21,,0.53,0.29,NaN,NaN
Away,RECOVERY,INTERCEPTION,1,6863,274.52,6863,274.52,21,,0.53,0.29,NaN,NaN
Away,PASS,,1,6863,274.52,6886,275.44,21,20,0.53,0.29,0.54,0.37
Home,BALL LOST,INTERCEPTION,1,6864,274.56,6885,275.4,6,,0.54,0.3,0.55,0.37
