Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2294.409912,2311.149902,2294.409912,2308.419922,2308.419922,1931380000
2010-01-05,2307.270020,2313.729980,2295.620117,2308.709961,2308.709961,2367860000
2010-01-06,2307.709961,2314.070068,2295.679932,2301.090088,2301.090088,2253340000
2010-01-07,2298.090088,2301.300049,2285.219971,2300.050049,2300.050049,2270050000
2010-01-08,2292.239990,2317.600098,2290.610107,2317.169922,2317.169922,2145390000
2010-01-11,2324.780029,2326.280029,2302.209961,2312.409912,2312.409912,2077890000
2010-01-12,2297.280029,2298.850098,2272.699951,2282.310059,2282.310059,2368320000
2010-01-13,2289.459961,2313.030029,2274.120117,2307.899902,2307.899902,2318350000
2010-01-14,2303.310059,2322.560059,2303.290039,2316.739990,2316.739990,2254170000
2010-01-15,2316.979980,2322.540039,2279.199951,2287.989990,2287.989990,2637770000
2010-01-19,2291.020020,2320.399902,2290.679932,2320.399902,2320.399902,2045290000
2010-01-20,2304.310059,2304.469971,2268.679932,2291.250000,2291.250000,2351890000
2010-01-21,2298.229980,2308.979980,2259.820068,2265.699951,2265.699951,2877800000
2010-01-22,2255.760010,2262.270020,2200.370117,2205.290039,2205.290039,2817620000
2010-01-25,2220.290039,2223.219971,2201.169922,2210.800049,2210.800049,2134350000
2010-01-26,2203.439941,2227.889893,2195.439941,2203.729980,2203.729980,2361260000
2010-01-27,2200.300049,2225.669922,2192.590088,2221.409912,2221.409912,2492880000
2010-01-28,2220.310059,2220.870117,2166.899902,2179.000000,2179.000000,2829640000
2010-01-29,2198.260010,2202.840088,2140.340088,2147.350098,2147.350098,3090580000
2010-02-01,2155.810059,2171.199951,2152.260010,2171.199951,2171.199951,2234140000
2010-02-02,2171.659912,2193.659912,2161.469971,2190.060059,2190.060059,2468470000
2010-02-03,2181.010010,2194.530029,2176.750000,2190.909912,2190.909912,2303350000
2010-02-04,2176.389893,2178.250000,2125.429932,2125.429932,2125.429932,2801390000
2010-02-05,2131.919922,2142.270020,2100.169922,2141.120117,2141.120117,2811100000
2010-02-08,2140.100098,2152.639893,2125.110107,2126.050049,2126.050049,2036280000
2010-02-09,2153.100098,2166.159912,2132.580078,2150.870117,2150.870117,2296420000
2010-02-10,2147.459961,2156.360107,2131.080078,2147.870117,2147.870117,2059940000
2010-02-11,2145.090088,2179.540039,2134.139893,2177.409912,2177.409912,2141260000
2010-02-12,2157.689941,2184.570068,2151.989990,2183.530029,2183.530029,2236180000
2010-02-16,2200.379883,2214.189941,2189.179932,2214.189941,2214.189941,2072850000
2010-02-17,2222.870117,2226.320068,2212.780029,2226.290039,2226.290039,2103530000
2010-02-18,2223.219971,2243.500000,2221.139893,2241.709961,2241.709961,2076820000
2010-02-19,2233.330078,2249.800049,2228.929932,2243.870117,2243.870117,2166660000
2010-02-22,2250.919922,2251.679932,2235.649902,2242.030029,2242.030029,1976290000
2010-02-23,2238.010010,2239.800049,2205.699951,2213.439941,2213.439941,2310910000
2010-02-24,2222.399902,2241.689941,2221.280029,2235.899902,2235.899902,2155810000
2010-02-25,2208.620117,2236.209961,2198.729980,2234.219971,2234.219971,2300530000
2010-02-26,2234.439941,2242.830078,2222.229980,2238.260010,2238.260010,2283430000
2010-03-01,2247.399902,2274.020020,2247.330078,2273.570068,2273.570068,2504940000
2010-03-02,2279.070068,2292.489990,2275.350098,2280.790039,2280.790039,2831870000
2010-03-03,2284.820068,2293.320068,2275.250000,2280.679932,2280.679932,2603510000
2010-03-04,2282.570068,2293.159912,2273.629883,2292.310059,2292.310059,2186020000
2010-03-05,2304.010010,2327.030029,2301.100098,2326.350098,2326.350098,2411880000
2010-03-08,2326.250000,2335.429932,2326.110107,2332.209961,2332.209961,2312310000
2010-03-09,2325.780029,2353.070068,2325.739990,2340.679932,2340.679932,2620360000
2010-03-10,2340.949951,2361.659912,2340.689941,2358.949951,2358.949951,2554740000
2010-03-11,2351.110107,2368.459961,2347.530029,2368.459961,2368.459961,2256790000
2010-03-12,2376.070068,2376.280029,2358.080078,2367.659912,2367.659912,2098780000
2010-03-15,2361.919922,2367.399902,2345.989990,2362.209961,2362.209961,1956170000
2010-03-16,2367.320068,2378.840088,2360.669922,2378.010010,2378.010010,2201880000
2010-03-17,2381.649902,2400.090088,2381.469971,2389.090088,2389.090088,2281410000
2010-03-18,2387.540039,2393.870117,2383.260010,2391.280029,2391.280029,2173060000
2010-03-19,2391.199951,2396.919922,2364.530029,2374.409912,2374.409912,3055760000
2010-03-22,2360.350098,2401.209961,2358.000000,2395.399902,2395.399902,2448130000
2010-03-23,2397.899902,2416.510010,2390.040039,2415.239990,2415.239990,2465230000
2010-03-24,2406.719971,2408.639893,2396.919922,2398.760010,2398.760010,2436100000
2010-03-25,2415.239990,2432.250000,2397.360107,2397.409912,2397.409912,2704870000
2010-03-26,2406.729980,2412.919922,2384.689941,2395.129883,2395.129883,2367930000
2010-03-29,2403.770020,2411.179932,2398.399902,2404.360107,2404.360107,1967850000
2010-03-30,2406.689941,2417.360107,2395.800049,2410.689941,2410.689941,2147270000
2010-03-31,2402.979980,2415.439941,2395.340088,2397.959961,2397.959961,2368690000
2010-04-01,2411.679932,2423.429932,2383.770020,2402.580078,2402.580078,2340270000
2010-04-05,2409.479980,2429.610107,2403.879883,2429.530029,2429.530029,2130340000
2010-04-06,2420.330078,2443.500000,2417.770020,2436.810059,2436.810059,2220390000
2010-04-07,2433.100098,2442.270020,2418.729980,2431.159912,2431.159912,2984850000
2010-04-08,2423.989990,2441.120117,2413.739990,2436.810059,2436.810059,2428900000
2010-04-09,2441.310059,2454.120117,2432.929932,2454.050049,2454.050049,2215530000
2010-04-12,2455.399902,2463.169922,2450.149902,2457.870117,2457.870117,2161650000
2010-04-13,2454.949951,2467.939941,2445.260010,2465.989990,2465.989990,2665420000
2010-04-14,2481.800049,2504.860107,2480.429932,2504.860107,2504.860107,3143270000
2010-04-15,2503.409912,2517.820068,2502.510010,2515.689941,2515.689941,2840660000
2010-04-16,2505.379883,2510.060059,2467.679932,2481.260010,2481.260010,2960950000
2010-04-19,2477.800049,2487.669922,2451.719971,2480.110107,2480.110107,2223650000
2010-04-20,2492.719971,2501.250000,2480.699951,2500.310059,2500.310059,2157100000
2010-04-21,2506.610107,2510.500000,2490.189941,2504.610107,2504.610107,2715900000
2010-04-22,2483.520020,2521.020020,2468.260010,2519.070068,2519.070068,2800840000
2010-04-23,2514.850098,2530.149902,2507.600098,2530.149902,2530.149902,2517010000
2010-04-26,2529.850098,2535.280029,2521.510010,2522.949951,2522.949951,2491040000
