"Index","GDPC1"
2013-04-01,16403.18
2013-07-01,16531.685
2013-10-01,16663.649
2014-01-01,16616.54
2014-04-01,16841.475
2014-07-01,17047.098
2014-10-01,17143.038
2015-01-01,17277.58
2015-04-01,17405.669
2015-07-01,17463.222
2015-10-01,17468.902
2016-01-01,17556.839
2016-04-01,17639.417
2016-07-01,17735.074
2016-10-01,17824.231
2017-01-01,17925.256
2017-04-01,18021.048
2017-07-01,18163.558
2017-10-01,18322.464
2018-01-01,18438.254
2018-04-01,18598.135
2018-07-01,18732.72
2018-10-01,18783.548
2019-01-01,18927.281
2019-04-01,19023.82
