RecordNumber,API_Number,permit,nlat83,wlon83,elev,op,well,farm,cmpl,TD,tdfm,result,current_op,
47026,16119003940000,  34542,37.425891,-83.097211,1120,KENTUCKY WEST VIRGINIA GAS CO   ,1707            ,"GOODLOE BROTHERS CO, INC        ",01-Jun-79,2806,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
47028,16119003880000,  32887,37.421912,-83.103162,1082,KENTUCKY WEST VIRGINIA GAS CO   ,1672            ,KYCOGA LAND CO                  ,14-Apr-78,2756,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
47205,16119003960000,  34759,37.416213,-83.051266,1552,KENTUCKY WEST VIRGINIA GAS CO   ,1713            ,ARIO CORP                       ,19-Jun-79,3225,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
47208,16119003920000,  34395,37.429172,-83.062597,1020,KENTUCKY WEST VIRGINIA GAS CO   ,1703            ,ARIO CORP                       ,17-May-79,2713,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
47209,16119003900000,  33175,37.423945,-83.078857,980,KENTUCKY WEST VIRGINIA GAS CO   ,1684            ,ARIO CORP                       ,16-Nov-78,2682,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
47210,16119011010000,  33325,37.417491,-83.079632,1173,KENTUCKY WEST VIRGINIA GAS CO   ,1685            ,ARIO CORP                       ,09-Nov-78,2836,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
47211,16119003910000,  34397,37.426632,-83.070861,998,KENTUCKY WEST VIRGINIA GAS CO   ,1701            ,ARIO CORP                       ,10-May-79,2704,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
47220,16119003460000,  26507,37.405493,-83.087292,1142,KENTUCKY WEST VIRGINIA GAS CO   ,1551            ,"GOODLOE BROTHERS CO, INC        ",28-Apr-73,2892,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
47221,16119013640000,  31319,37.403914,-83.099311,1421,KENTUCKY WEST VIRGINIA GAS CO   ,1646            ,"GOODLOE BROTHERS CO, INC        ",01-Jul-77,3140,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
47222,16119003490000,  32076,37.411407,-83.095502,1186,KENTUCKY WEST VIRGINIA GAS CO   ,1651            ,"GOODLOE BROTHERS CO, INC        ",21-Oct-77,2909,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
47224,16119011780000,  32542,37.416282,-83.099857,1079,KENTUCKY WEST VIRGINIA GAS CO   ,1660            ,"GOODLOE BROTHERS CO, INC        ",03-Jan-78,2787,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
47227,16119003480000,  31471,37.393752,-83.025159,1262,KENTUCKY WEST VIRGINIA GAS CO   ,1648            ,"CARTER, GRACE ET AL             ",18-May-77,2968,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
47228,16119013610000,  32075,37.40147,-83.021373,1212,KENTUCKY WEST VIRGINIA GAS CO   ,1650            ,"CARTER, GRACE ET AL             ",27-Jul-77,2888,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
47229,16119003670000,  31137,37.389472,-83.017896,1263,KENTUCKY WEST VIRGINIA GAS CO   ,1642            ,"CARTER, GRACE ET AL             ",15-Feb-77,2959,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
47230,16119003570000,  29034,37.387453,-83.110643,1220,KENTUCKY WEST VIRGINIA GAS CO   ,1609            ,"TURNER, CICLEY ET AL            ",15-Oct-75,2945,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
47231,16119003600000,  29653,37.392955,-83.116386,1118,KENTUCKY WEST VIRGINIA GAS CO   ,1617            ,"TURNER, CICLEY ET AL            ",20-Oct-75,2860,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
47233,16119003930000,  34396,37.395441,-83.014257,1207,KENTUCKY WEST VIRGINIA GAS CO   ,1704            ,"DOBSON, DORA                    ",12-Jun-79,2937,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
47235,16119003990000,  36496,37.387934,-83.038066,1309,KENTUCKY WEST VIRGINIA GAS CO   ,1725            ,"COMBS, DORIS B                  ",16-Jul-80,3023,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
47547,,,37.320335,-83.002292,1370,WARFIELD NATURAL GAS CO         ,4746            ,"HARLAND, JOE                    ",20-Aug-37,3089,341OHIO ,GAS,,0
47549,16119007970000,  N7333,37.325369,-83.004127,1225,WARFIELD NATURAL GAS CO         ,4745            ,"TIGNOR, JOE                     ",10-Aug-37,2932,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
49629,16127005240000,   2438,37.995744,-82.752342,900,KENTUCKY WEST VIRGINIA GAS CO   ,1157            ,"BALL, MARY                      ",30-Jun-61,2844,357CLNT ,GAS,GAS ACQUISITION CORP            ,0
50553,,,37.326605,-82.918386,1565,WARFIELD NATURAL GAS CO         ,4398            ,"ALLEN, C E                      ",14-Jul-34,3393,341OHIO ,GAS,,0
50771,,,37.325781,-82.93832,1350,WARFIELD NATURAL GAS CO         ,5111            ,"JONES, H B                      ",07-Oct-42,3131,341OHIO ,GAS,,0
50775,,,37.317079,-82.962368,1055,WARFIELD NATURAL GAS CO         ,4837            ,"CLARK, GEORGE                   ",18-Jun-39,2836,341OHIO ,GAS,,0
50969,,   8849,38.02537,-82.715538,820,KENTUCKY WEST VIRGINIA GAS CO   ,1231            ,"MCBRAYER, CHARLES               ",15-Sep-63,2844,357CLNT ,GAS,,0
50972,16127005250000,   2774,38.019777,-82.709604,792,KENTUCKY WEST VIRGINIA GAS CO   ,1167            ,"ESTEP, WILLIAM                  ",22-Aug-61,2830,357CLNT ,GAS,GAS ACQUISITION CORP            ,0
50985,16119007600000,  391EF,37.236315,-82.9626,1161,UNITED FUEL GAS CO              ,6514            ,"STACY, S N ET AL                ",11-Jan-51,3279,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
51259,,,37.323356,-82.96552,1120,WARFIELD NATURAL GAS CO         ,4755            ,"FRAZIER, LAURA                  ",10-Sep-37,2942,341OHIO ,GAS,,0
51331,,,37.320335,-82.980124,1175,WARFIELD NATURAL GAS CO         ,4881            ,"CROIX, W S                      ",29-Aug-40,2944,341OHIO ,GAS,,0
51348,,,37.332882,-82.982187,1140,WARFIELD NATURAL GAS CO         ,4709            ,"PRATT, JASPER                   ",12-Feb-37,2862,341OHIO ,GAS,,0
51351,,,37.32839,-82.985912,1082,WARFIELD NATURAL GAS CO         ,4744            ,"GAYHEART, L                     ",31-Jul-37,2805,341OHIO ,GAS,,0
51503,16119003630000,  30110,37.230587,-82.889601,1454,KENTUCKY WEST VIRGINIA GAS CO   ,1623            ,"COMBS, N L                      ",14-Apr-76,3628,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
51514,16119007630000, 3811EF,37.232884,-82.902115,1329,UNITED FUEL GAS CO              ,8492            ,"WARD, ELBERT                    ",10-Jul-57,3427,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC      ",0
52246,16131007040000,  33756,37.047621,-83.218446,1418,KENTUCKY WEST VIRGINIA GAS CO   ,7293            ,"CRESS, WILLIAM                  ",26-Dec-78,3827,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
52282,16127017590000,   5669,38.014834,-82.714464,826,KENTUCKY WEST VIRGINIA GAS CO   ,1201            ,"ROBINETTE, LEE W                ",17-May-62,2862,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
52970,16131003180000,  26996,37.17216,-83.24897,1166,KENTUCKY WEST VIRGINIA GAS CO   ,1568            ,KYCOGA LAND CO                  ,26-Sep-73,3239,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
52985,16131003170000,  26739,37.169864,-83.238807,1302,KENTUCKY WEST VIRGINIA GAS CO   ,1560            ,KYCOGA LAND CO                  ,13-Jul-73,3419,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
52989,16131003150000,  26588,37.160361,-83.215224,1442,KENTUCKY WEST VIRGINIA GAS CO   ,1554            ,"EDWARDS, JOHN L                 ",03-May-73,3560,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
52990,16131003300000,  30102,37.143299,-83.238393,1712,KENTUCKY WEST VIRGINIA GAS CO   ,1622            ,FORDSON COAL CO                 ,09-Mar-76,3861,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
53098,,,37.269513,-82.915518,1391,UNITED FUEL GAS CO              ,6286            ,"PIGMAN, DEWITT                  ",22-Sep-48,3371,341OHIO ,GAS,,0
53133,16119007610000,   46EF,37.265393,-82.88648,1370,UNITED FUEL GAS CO              ,6524            ,"PIGMAN, V B , HANKS, WALTER     ",05-Aug-49,3405,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
53145,16119007560000, 1301EF,37.256317,-82.902062,1337,UNITED FUEL GAS CO              ,8057            ,"STAMPER, GARLAND ET AL          ",30-May-53,3293,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
53159,16119003540000,  26728,37.2584,-82.904123,1102,KENTUCKY WEST VIRGINIA GAS CO   ,1561            ,"FRANCIS, NOLA ET AL             ",08-Jun-73,3133,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
53164,16119007690000,  838EF,37.252472,-82.897251,1710,UNITED FUEL GAS CO              ,6900            ,"BLAIR, WILLIAM                  ",11-Feb-52,3430,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
53165,16119007660000,  827EF,37.255493,-82.907559,1240,UNITED FUEL GAS CO              ,6858            ,"AMBURGEY, G C                   ",18-Jan-52,3196,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
