RecordNumber,API_Number,permit,nlat83,wlon83,elev,op,well,farm,cmpl,TD,tdfm,result,current_op,
63393,,,37.558102,-82.673738,880,WARFIELD NATURAL GAS CO         ,4564            ,"AKERS, B K                      ",13-Nov-35,2864,341OHIO ,GAS,,0
63398,,,37.535492,-82.742639,665,WARFIELD NATURAL GAS CO         ,4057            ,"STUMBO, WILLIAM                 ",05-Feb-30,2413,341OHIO ,GAS,,0
63401,,,37.542173,-82.748965,740,WARFIELD NATURAL GAS CO         ,3913            ,"ALLEN, N O                      ",10-Jul-29,2500,341OHIO ,GAS,,0
63406,,,37.502434,-82.709308,920,WARFIELD NATURAL GAS CO         ,4545            ,"MEAD, A L                       ",27-Feb-35,2812,341OHIO ,GAS,,0
63816,,,37.708662,-82.649532,835,WARFIELD NATURAL GAS CO         ,5091            ,"CRIDER, ELSIE                   ",16-Apr-42,2704,341OHIO ,GAS,,0
63819,,,37.68965,-82.638344,840,WARFIELD NATURAL GAS CO         ,5092            ,"MAYNARD, TAULBEE                ",21-Apr-42,2663,341OHIO ,GAS,,0
63931,16159005020000, 2117EF,37.741474,-82.564742,1077,UNITED FUEL GAS CO              ,8228            ,"CLINE, DOLLIE                   ",19-Aug-54,3129,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
63936,,  947EF,37.736217,-82.500346,718,UNITED FUEL GAS CO              ,6665            ,"MUNCY, HOMER ET AL              ",13-Oct-53,2959,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
64006,16159004970000, 1634EF,37.701883,-82.566265,841,UNITED FUEL GAS CO              ,8119            ,"RUMSEY, GEORGE A ET AL          ",20-Nov-53,2962,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
64007,16159004960000, 1573EF,37.697489,-82.523623,1252,UNITED FUEL GAS CO              ,8101            ,"RUMSEY, GEORGE A ET AL          ",20-Mar-54,3421,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
64008,16159005140000,  4384E,37.716077,-82.567751,765,UNITED FUEL GAS CO              ,6311            ,"MCCOY, P P ET AL                ",27-Jun-58,4102,357CLNTS,GAS,"CHESAPEAKE APPALACHIA, LLC",0
64032,16159002840000,  36771,37.727484,-82.577871,1090,PLATEAU RESOURCE DEVELOPMENT CO ,6               ,"BLACKBURN, FOCH                 ",23-Jan-80,3328,341OHIO ,GAS,INTERSTATE NATURAL GAS CO       ,0
64680,,,37.560449,-82.647118,650,WARFIELD NATURAL GAS CO         ,4581            ,"STRATTON, R P HEIRS             ",29-Nov-35,2710,341OHIO ,GAS,,0
64751,,,37.507103,-82.666027,1210,WARFIELD NATURAL GAS CO         ,4522            ,"MARTIN, NOAH                    ",06-Oct-34,3187,341OHIO ,GAS,,0
64753,16071006680000,     69,37.503433,-82.657584,690,WARFIELD NATURAL GAS CO         ,4380            ,"HAMILTON, JOHN N                ",11-Sep-33,2702,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC      ",0
65079,,,37.865019,-82.479523,1080,WARFIELD NATURAL GAS CO         ,1863            ,"COLLINSWORTH, M D               ",24-Dec-30,3048,341OHIO ,GAS,,0
65086,,,37.874631,-82.479956,1010,WARFIELD NATURAL GAS CO         ,4703            ,"COLLINSWORTH, M D               ",27-Mar-37,2967,341OHIO ,GAS,,0
65167,, 4259EF,37.828528,-82.450519,1040,UNITED FUEL GAS CO              ,6257            ,"RATLIFF, W V                    ",15-Jan-48,3059,341OHIO ,GAS,,0
65186,,,37.807003,-82.476411,950,WARFIELD NATURAL GAS CO         ,5046            ,"FEDERAL GAS, OIL & COAL CO      ",10-Feb-42,3045,341OHIO ,GAS,,0
65187,,,37.814058,-82.479872,1150,WARFIELD NATURAL GAS CO         ,5034            ,"BLANKENSHIP, A B                ",06-Oct-41,3181,341OHIO ,GAS,,0
65189,,,37.823258,-82.422206,700,WARFIELD NATURAL GAS CO         ,2577            ,"ROSS, FRANK                     ",16-May-23,2711,341OHIO ,GAS,,0
65313,,,37.838963,-82.470476,860,WARFIELD NATURAL GAS CO         ,1564            ,"KIRK, J D                       ",22-Jan-26,2604,341OHIO ,GAS,,0
65315,,,37.813646,-82.465109,1050,WARFIELD NATURAL GAS CO         ,4539            ,"KIRK, J D                       ",07-Jan-35,3144,341OHIO ,GAS,,0
65546,,,37.769784,-82.485625,735,UNITED FUEL GAS CO              ,6510            ,"MOORE, J G                      ",07-Mar-49,3001,341OHIO ,GAS,,0
65571,,,37.809897,-82.462903,1010,WARFIELD NATURAL GAS CO         ,5045            ,"FEDERAL GAS, OIL & COAL CO      ",08-Nov-41,3190,341OHIO ,GAS,,0
65593,16159002400000,  31020,37.775878,-82.494164,934,COLUMBIA GAS TRANSMISSION CORP  ,20336           ,COLUMBIA GAS TRANSMISSION CORP  ,07-Nov-76,3441,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
65619,16159002820000,  34540,37.774631,-82.452802,759,PLATEAU RESOURCE DEVELOPMENT CO ,PR4             ,"JUDE, JOHN E                    ",15-Jun-79,3178,341OHIO ,GAS,INTERSTATE NATURAL GAS CO       ,0
65652,16159005480000,  686EF,37.755453,-82.448486,740,UNITED FUEL GAS CO              ,6757            ,"HOWARD, J H                     ",08-Sep-51,3117,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
65654,16159005030000, 3733EF,37.752844,-82.436487,935,UNITED FUEL GAS CO              ,8290            ,"TRIPLETT, KIZZIE                ",07-Aug-57,3378,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
65657,16159005490000,  814EF,37.761821,-82.460916,778,UNITED FUEL GAS CO              ,6780            ,"FREDERICK, SARAH ET AL          ",13-Nov-51,3100,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
65660,16159014480000,  362E0,37.785668,-82.385929,976,UNITED FUEL GAS CO              ,8769            ,"FERRELL, ELSIE ET AL            ",01-Sep-60,3454,341OHIO ,GAS,,0
65661,16159004850000,  802E9,37.784598,-82.396234,691,UNITED FUEL GAS CO              ,8781            ,"EVANS, OCTAVIA ET AL            ",09-Jan-60,3164,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
65673,16159002420000,  33158,37.753806,-82.385967,802,COLUMBIA GAS TRANSMISSION CORP  ,20461           ,POCAHONTAS KENTUCKY CORP        ,07-Aug-78,3665,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
65714,16159004980000, 1717EF,37.790983,-82.382335,1026,UNITED FUEL GAS CO              ,8130            ,GOFF HEIRS                      ,11-Mar-54,3478,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
65714,16159004980000, 1717EF,37.790983,-82.382335,1026,UNITED FUEL GAS CO              ,8130            ,GOFF HEIRS                      ,08-Jan-99,3478,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",1
65834,16159005070000,   559E,37.920786,-82.496707,860,UNITED FUEL GAS CO              ,,"FAIRCHILD, J R                  ",22-May-57,2825,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
66056,16159002520000,    795,37.748451,-82.360862,1397,UNITED FUEL GAS CO              ,8956            ,GOFF HEIRS                      ,31-Jan-61,3966,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
66069,16159005340000,  787E8,37.747254,-82.342392,910,UNITED FUEL GAS CO              ,8673            ,"GOFF, J B HEIRS                 ",22-Jan-59,3465,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
66261,16159003840000,  33603,37.698627,-82.473751,1166,COLUMBIA GAS TRANSMISSION CORP  ,20372           ,POCAHONTAS KENTUCKY CORP        ,14-Sep-78,3804,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
66346,16159002440000,  33449,37.670885,-82.454706,1042,COLUMBIA GAS TRANSMISSION CORP  ,20586           ,POCAHONTAS LAND CORP            ,04-Sep-78,3886,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
66347,16159003820000,  31155,37.694508,-82.43869,740,COLUMBIA GAS TRANSMISSION CORP  ,20337           ,POCAHONTAS LAND CORP            ,16-Nov-76,3602,341OHIO ,GAS,NEW RIVER ENERGY CORPORATION,0
66720,16159002460000,  32581,37.702433,-82.438767,711,COLUMBIA GAS TRANSMISSION CORP  ,20460           ,POCAHONTAS LAND CORP            ,23-Sep-77,3365,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
66722,16159003830000,  33602,37.734805,-82.391152,928,COLUMBIA GAS TRANSMISSION CORP  ,20371           ,POCAHONTAS KENTUCKY CORP        ,16-Aug-78,3372,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
67140,,,37.673807,-82.652246,636,WARFIELD NATURAL GAS CO         ,4736            ,"HUNT, ANGIE                     ",10-Jul-37,2496,341OHIO ,GAS,,0
67143,16071007470000,  3228E,37.351511,-82.756709,1172,WARFIELD NATURAL GAS CO         ,5196            ,ELKHORN COAL CORP               ,17-Jul-43,3068,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
67207,16159005230000, 3916EF,37.772052,-82.329912,920,UNITED FUEL GAS CO              ,8482            ,"MAYNARD, HENRY                  ",12-Oct-57,3491,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
67211,16159004830000,  944E8,37.781411,-82.369088,787,UNITED FUEL GAS CO              ,8779            ,"MURPHY, TILDA ET AL             ",13-Mar-59,3256,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
67234,16159002620000,  23905,37.750648,-82.37179,1035,UNITED FUEL GAS CO              ,9599            ,"FEDERAL GAS, OIL & COAL CO      ",11-Dec-70,3585,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
67645,16159009670000, N21125,37.940566,-82.505334,820,WARFIELD NATURAL GAS CO         ,5310            ,"FEDERAL GAS, OIL & COAL CO      ",04-Jan-44,2763,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
67650,,,37.920192,-82.505593,700,WARFIELD NATURAL GAS CO         ,4887            ,"WILES, E D                      ",08-Aug-40,2674,341OHIO ,GAS,,0
67651,,,37.918864,-82.520307,880,WARFIELD NATURAL GAS CO         ,4728            ,"FAIRCHILD, J R                  ",19-May-37,2788,341OHIO ,GAS,,0
67686,,,37.903021,-82.515973,950,WARFIELD NATURAL GAS CO         ,5047            ,"BLACKBURN, CALLIE               ",01-Dec-41,2927,341OHIO ,GAS,,0
67700,16159009950000,  3538E,37.914288,-82.513421,1040,WARFIELD NATURAL GAS CO         ,5449            ,FEDERAL COAL AND COKE CO        ,28-Oct-44,3029,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
67754,16159002810000,  34439,37.890542,-82.581601,683,PLATEAU RESOURCE DEVELOPMENT CO ,3               ,"HINKLE, ORAN & RUBY             ",18-May-79,2628,341OHIO ,GAS,INTERSTATE NATURAL GAS CO       ,0
67874,,,37.897897,-82.515241,880,WARFIELD NATURAL GAS CO         ,5048            ,"RICHMOND, B F ET AL             ",28-Feb-42,2842,341OHIO ,GAS,,0
67876,16159006310000,    158,37.883839,-82.551434,623,WARFIELD NATURAL GAS CO         ,4391            ,"ROBINSON, VIRGIE                ",20-Apr-34,2605,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC      ",0
67877,,,37.899064,-82.533121,790,WARFIELD NATURAL GAS CO         ,4530            ,"BLACKBURN, CALLIE               ",24-Sep-34,2745,341OHIO ,GAS,,0
67879,,,37.893915,-82.533553,800,WARFIELD NATURAL GAS CO         ,5249            ,"FEDERAL GAS, OIL & COAL CO      ",09-Aug-43,2797,341OHIO ,GAS,,0
67882,16159006550000,  N7313,37.887821,-82.526797,820,WARFIELD NATURAL GAS CO         ,4615            ,"FEDERAL GAS, OIL & COAL CO      ",12-Sep-36,2845,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
67884,,,37.897691,-82.506976,1038,WARFIELD NATURAL GAS CO         ,5443            ,"FEDERAL GAS, OIL & COAL CO      ",28-Aug-44,2997,341OHIO ,GAS,,0
68072,16195011210000,  36797,37.668864,-82.566235,740,KENTUCKY WEST VIRGINIA GAS CO   ,1730            ,"TAYLOR, J M                     ",01-Jul-80,2910,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
68129,,,37.856385,-82.502598,780,WARFIELD NATURAL GAS CO         ,4598            ,"STEPP, AARON                    ",12-Mar-36,2711,341OHIO ,GAS,,0
68132,,,37.847417,-82.598837,740,KENTUCKY WEST VIRGINIA GAS CO   ,5112            ,"MILLS, L T                      ",,484,327SALT ,GAS,,0
68288,16159007560000,  3697E,37.778624,-82.506098,900,WARFIELD NATURAL GAS CO         ,5601            ,"FEDERAL GAS, OIL & COAL CO      ",03-Feb-46,3054,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
69114,16195010060000,  38468,37.58505,-82.522275,918,KENTUCKY WEST VIRGINIA GAS CO   ,1693            ,"MILLER, EUGENE ET AL            ",04-Sep-80,3315,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
70031,,,37.433059,-82.57011,830,WARFIELD NATURAL GAS CO         ,5082            ,"AKERS, GEORGE W                 ",17-Jul-42,3201,341OHIO ,GAS,,0
70124,,,37.464195,-82.571145,870,WARFIELD NATURAL GAS CO         ,4563            ,"MOORE, HENRY                    ",13-Nov-35,3217,341OHIO ,GAS,,0
70438,16195013610000,  32089,37.488516,-82.398145,1238,KENTUCKY WEST VIRGINIA GAS CO   ,7255            ,"CHARLES, H G                    ",25-Oct-77,4115,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
70630,16115004300000,  27122,37.71591,-82.901355,823,KENTUCKY WEST VIRGINIA GAS CO   ,7211            ,"COLLINS, J W                    ",05-Jan-73,2663,357CLNT ,GAS,EQUITABLE PRODUCTION COMPANY,0
70632,16115003180000,  14458,37.727771,-82.885639,755,KENTUCKY WEST VIRGINIA GAS CO   ,1279            ,"JOHNSON, BUEL                   ",20-Sep-65,1755,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
70633,16115004290000,  26590,37.723792,-82.903689,819,KENTUCKY WEST VIRGINIA GAS CO   ,7188            ,"RICE, B G                       ",19-Apr-73,2642,357RHLL ,GAS,EQUITABLE PRODUCTION COMPANY,0
71680,,,37.891229,-82.601559,806,KENTUCKY WEST VIRGINIA GAS CO   ,5137            ,"BOYD, WILLIAM                   ",10-Apr-31,2636,341OHIO ,GAS,,0
71688,,,37.837822,-82.664034,1050,KENTUCKY WEST VIRGINIA GAS CO   ,5785            ,"YORK, J F                       ",09-Feb-48,2590,341OHIO ,GAS,,0
71787,16115008780000,  N1257,37.765843,-82.67607,669,KENTUCKY WEST VIRGINIA GAS CO   ,5505            ,"COLLINS, J M                    ",20-Mar-44,2317,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY    ,0
71790,16115007960000, N20868,37.769646,-82.688055,780,KENTUCKY WEST VIRGINIA GAS CO   ,5523            ,"PORTER, MARY C                  ",27-Jun-44,2306,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
71791,16115008040000, N21083,37.771061,-82.669694,740,KENTUCKY WEST VIRGINIA GAS CO   ,5532            ,"WELLS, ALBERT G                 ",15-Jun-44,2394,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
71809,16115007900000, N20369,37.740897,-82.698841,700,KENTUCKY WEST VIRGINIA GAS CO   ,5610            ,"CLARK, SAM                      ",28-Nov-45,3065,357CLNT ,GAS,EQUITABLE PRODUCTION COMPANY,0
71810,16115007910000, N20370,37.748902,-82.712863,630,KENTUCKY WEST VIRGINIA GAS CO   ,5679            ,"CLARK, SAM                      ",04-Nov-46,2112,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
71815,16115008010000, N21081,37.738648,-82.692064,790,KENTUCKY WEST VIRGINIA GAS CO   ,5629            ,"WELLS, HENRY C HEIRS            ",22-Apr-46,2413,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
71819,16115008050000, N21084,37.748449,-82.680273,670,KENTUCKY WEST VIRGINIA GAS CO   ,5493            ,"WELLS, G W                      ",28-Jan-44,2365,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
71820,16115004260000,  18808,37.749409,-82.68909,902,KENTUCKY WEST VIRGINIA GAS CO   ,6972            ,"WELLS, G W                      ",14-Jul-67,2503,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
71823,16115007990000, N20973,37.744178,-82.678838,680,KENTUCKY WEST VIRGINIA GAS CO   ,5571            ,"SPEARS, A M                     ",31-Jan-45,2330,341OHIO ,GAS,,0
71907,16115007930000, N20433,37.761518,-82.691116,670,KENTUCKY WEST VIRGINIA GAS CO   ,5522            ,"DAVIS, G W                      ",18-Apr-44,2239,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
71927,16115009680000,  N2904,37.760652,-82.667409,720,KENTUCKY WEST VIRGINIA GAS CO   ,5474            ,"WELLS, ALLEN C                  ",07-Sep-43,2418,341OHIO ,GAS,"BEECH FORK PROCESSING, INC",0
72075,16115007950000, N20817,37.834252,-82.675941,670,KENTUCKY WEST VIRGINIA GAS CO   ,5827            ,"MOLLETT, WILLIAM E              ",09-Aug-48,2146,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
72132,,,37.845332,-82.672294,900,KENTUCKY WEST VIRGINIA GAS CO   ,5817            ,WHITEHOUSE CANNEL COAL CO       ,02-Jun-48,2598,341OHIO ,GAS,,0
74355,16153023530000, N11091,37.548078,-82.92747,1020,KENTUCKY WEST VIRGINIA GAS CO   ,167             ,"SHEPHERD, J B                   ",,2365,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
74369,,,37.548133,-82.92747,1020,KENTUCKY WEST VIRGINIA GAS CO   ,167             ,"SHEPHERD, JOHN                  ",31-Dec-26,1300,327SALT3,D&A,,0
74625,16153011310000,  25913,37.563605,-82.937531,1079,KENTUCKY WEST VIRGINIA GAS CO   ,1003            ,"WIREMAN, AMOS                   ",27-Oct-72,3022,357RHLL ,GAS,EQUITABLE PRODUCTION COMPANY,0
75042,16153023640000, N20574,37.591092,-82.918047,980,KENTUCKY WEST VIRGINIA GAS CO   ,854             ,"GREEN, GRANT                    ",18-Jul-47,2255,341OHIO ,GAS,,0
75181,16153014090000,   96EF,37.595057,-82.911145,1054,KENTUCKY WEST VIRGINIA GAS CO   ,5891            ,"HOWARD, WILLIAM                 ",02-Aug-49,1223,332MAXN ,GAS,EQUITABLE PRODUCTION COMPANY,0
75183,16153023630000, 1193EF,37.587041,-82.899655,1205,KENTUCKY WEST VIRGINIA GAS CO   ,850             ,"COLLINS, M M                    ",26-Jan-53,2559,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
75187,16153014110000,  193EF,37.590845,-82.905924,1111,KENTUCKY WEST VIRGINIA GAS CO   ,5928            ,"HOWARD, WILLIAM                 ",27-Apr-50,2385,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
75188,16153014100000,  141EF,37.599272,-82.904544,1171,KENTUCKY WEST VIRGINIA GAS CO   ,5911            ,"HOWARD, WILLIAM                 ",23-Nov-49,2454,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
75264,,,37.532263,-82.923793,1180,KENTUCKY WEST VIRGINIA GAS CO   ,227             ,"SHEPHERD, WILLIAM               ",25-Oct-27,2564,341OHIO ,GAS,,0
75265,16153011240000,   8910,37.525603,-82.92529,1077,KENTUCKY WEST VIRGINIA GAS CO   ,278             ,"SHEPHERD, WILLIAM               ",06-Jul-63,2482,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
75857,16193005100000,  13732,37.181644,-83.040083,1327,KENTUCKY WEST VIRGINIA GAS CO   ,6885            ,"BRASHEAR, WILLIAM C             ",04-Nov-65,3587,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
75879,16193005330000,  17910,37.167504,-83.054143,1456,KENTUCKY WEST VIRGINIA GAS CO   ,6948            ,"FIELDS, WILLIAM                 ",04-Jan-67,3738,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
75885,16193006030000,  30291,37.179007,-83.051947,1321,KENTUCKY WEST VIRGINIA GAS CO   ,7246            ,"FIELDS, WILLIAM                 ",26-Mar-76,3592,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
75908,,,37.550412,-82.91339,1257,KENTUCKY WEST VIRGINIA GAS CO   ,296             ,"WIREMAN, NANCY J                ",25-May-30,2632,341OHIO ,GAS,,0
76119,16193003300000,  26387,37.077179,-83.085621,1363,KENTUCKY WEST VIRGINIA GAS CO   ,1550            ,"MINIARD, DENVER                 ",01-Mar-73,3807,344CORN ,GAS,,0
76122,16193006070000,  32264,37.06241,-83.085218,1493,KENTUCKY WEST VIRGINIA GAS CO   ,7257            ,KENTUCKY UNION CO               ,24-Oct-77,4005,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
76127,16193002520000,  23415,37.079527,-83.07976,1337,KENTUCKY WEST VIRGINIA GAS CO   ,1435            ,"HALCOMB, ARCH, ET AL            ",04-Jun-70,3778,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
76461,16193005880000,  27892,37.107416,-83.06118,1302,KENTUCKY WEST VIRGINIA GAS CO   ,7229            ,"RIDDLE, JAMES                   ",09-Apr-75,3720,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
76470,16193002350000,  21941,37.092953,-83.118682,1253,KENTUCKY WEST VIRGINIA GAS CO   ,1403            ,"EBLEN, M K                      ",15-May-69,3621,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
76474,16193006050000,  30819,37.087272,-83.093582,1662,KENTUCKY WEST VIRGINIA GAS CO   ,7250            ,KENTUCKY UNION CO               ,04-Jun-76,4137,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
76498,16193003370000,  30449,37.087547,-83.08377,1229,KENTUCKY WEST VIRGINIA GAS CO   ,1626            ,"HORN, JESSIE AND LUCRETIA COMBS ",30-Apr-76,3656,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
76508,16193002420000,  22205,37.096018,-83.092458,1309,KENTUCKY WEST VIRGINIA GAS CO   ,1413            ,"HORN, JESSIE AND LUCRETIA COMBS ",10-Sep-69,3690,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
76587,16193002230000,  20320,37.115596,-83.089574,1222,KENTUCKY WEST VIRGINIA GAS CO   ,1363            ,"CORNETT, ASBEL                  ",25-Jun-68,3610,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
76607,16193002410000,  22210,37.111943,-83.105829,1226,KENTUCKY WEST VIRGINIA GAS CO   ,1412            ,"CORNETT, CARRIE                 ",02-Dec-69,3570,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
76633,16193008780000,  32402,37.091964,-83.07568,1340,KENTUCKY WEST VIRGINIA GAS CO   ,1659            ,"HORN, JESSIE AND KY UNION CO    ",13-Nov-77,3755,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
77034,16193005310000,  17158,37.132054,-83.101947,1153,KENTUCKY WEST VIRGINIA GAS CO   ,6937            ,"CORNETT, W M                    ",23-Sep-66,3438,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
77062,16193005340000,  17989,37.183677,-83.090542,1243,KENTUCKY WEST VIRGINIA GAS CO   ,6951            ,MCINTYRE & LUSK                 ,08-Feb-67,3423,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
77093,16193000970000,  14544,37.216419,-83.102979,1076,KENTUCKY WEST VIRGINIA GAS CO   ,1283            ,"COMBS, FLOYD H                  ",26-Oct-65,3165,344CORN ,GAS,"JOURNEY OPERATING, LLC",0
77099,16193007900000,  15799,37.162822,-83.085907,1133,KENTUCKY WEST VIRGINIA GAS CO   ,1297            ,"MCINTYRE, JANE                  ",31-Aug-66,3424,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
77130,16193007880000,  20671,37.162135,-83.110833,1513,KENTUCKY WEST VIRGINIA GAS CO   ,7017            ,"HALL, JAMES M                   ",20-Aug-68,3784,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
77476,16115004250000,  18390,37.722666,-82.889268,815,KENTUCKY WEST VIRGINIA GAS CO   ,6959            ,"RICE, A J                       ",15-Jun-67,2682,357CLNT ,GAS,EQUITABLE PRODUCTION COMPANY,0
78732,16193005700000,  25357,37.229583,-83.253331,1038,KENTUCKY WEST VIRGINIA GAS CO   ,7152            ,"FIELDS, W C                     ",28-Feb-72,2923,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
78733,16193005790000,  26480,37.220718,-83.265722,1130,KENTUCKY WEST VIRGINIA GAS CO   ,7182            ,"SHEPHERD, J M                   ",05-Feb-73,3041,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
78746,16193005810000,  26626,37.242199,-83.270962,1239,KENTUCKY WEST VIRGINIA GAS CO   ,7190            ,"STACY, ALFRED                   ",09-May-73,3045,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
78747,16193008490000,  26791,37.249518,-83.272816,1194,KENTUCKY WEST VIRGINIA GAS CO   ,7201            ,"STACY, F S                      ",31-Jul-73,2999,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
78819,16193005770000,  26129,37.238277,-83.261239,1100,KENTUCKY WEST VIRGINIA GAS CO   ,7173            ,"FIELDS, B T                     ",16-Nov-72,2982,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
78820,16193005710000,  25491,37.238509,-83.252645,998,KENTUCKY WEST VIRGINIA GAS CO   ,7156            ,"FIELDS, B T                     ",30-May-72,2862,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
78828,16193003360000,  30219,37.383127,-83.125053,932,KENTUCKY WEST VIRGINIA GAS CO   ,1624            ,"TURNER, CICLEY ETAL             ",14-Apr-76,2628,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
78904,16193005110000,  13803,37.190912,-83.135713,1147,KENTUCKY WEST VIRGINIA GAS CO   ,6887            ,"BRASHEARS, JOHN J               ",25-Aug-65,3318,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
79003,16193002440000,  22245,37.162959,-83.209118,1385,KENTUCKY WEST VIRGINIA GAS CO   ,1416            ,FORDSON COAL CO                 ,12-Aug-69,3562,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
79265,16193005290000,  16641,37.184252,-83.177392,1639,KENTUCKY WEST VIRGINIA GAS CO   ,6935            ,"DAVIS, R O                      ",26-Jul-66,3820,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
79268,16193005300000,  16971,37.170881,-83.182026,1315,KENTUCKY WEST VIRGINIA GAS CO   ,6936            ,"PRATT, JAMES D                  ",26-Aug-66,3516,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
79456,16193005570000,  21738,37.182235,-83.186731,1507,KENTUCKY WEST VIRGINIA GAS CO   ,7037            ,"MILLER, W H                     ",19-Feb-69,3657,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
79489,16193005730000,  25701,37.133608,-83.192967,1412,KENTUCKY WEST VIRGINIA GAS CO   ,7162            ,"RAWLINS, J L                    ",30-Jun-72,3637,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
79499,16193002480000,  22625,37.160718,-83.20204,1385,KENTUCKY WEST VIRGINIA GAS CO   ,1424            ,FORDSON COAL CO                 ,21-Oct-69,3556,344CORN ,GAS,EQUITABLE PRODUCTION COMPANY,0
