RecordNumber,quant,unit,pay_top,btm,pay,Remark
40572,4226,MCFGPD,3285,3347,341OHIO ,
40595,84,MCFGPD,3268,3340,341OHIO ,
40616,169,MCFGPD,2680,3430,340BBSI ,
40625,0,MCFGPD,3031,3053,341OHIO ,
40628,0,MCFGPD,2808,2830,340BBSI ,
40646,0,MCFGPD,3096,3118,339BREA ,
40680,0,MCFGPD,3146,3168,341OHIO ,
40708,60,MCFGPD,3440,4250,341OHIO ,
40712,73,MCFGPD,2800,3760,340BBSI ,
40954,47,MCFGPD,2410,3106,340BBSI ,
40956,84,MCFGPD,2758,3439,341OHIO ,
40958,84,MCFGPD,2800,3183,340BBSI ,
41217,0,MCFGPD,3705,3746,339BREA ,
41503,321,MCFGPD,3077,3780,341OHIO ,
45437,0,MCFGPD,2600,2621,341OHIO ,
45914,338,MCFGPD,2110,2456,341OHIO ,
47015,0,MCFGPD,2894,3048,341OHIO ,
47016,143,MCFGPD,2784,2830,341OHIO ,
47018,25,MCFGPD,2481,2488,341OHIO ,
47021,267,MCFGPD,3098,3132,341OHIO ,
47022,0,MCFGPD,2348,2368,341OHIO ,
47023,103,MCFGPD,2428,2494,341OHIO ,
47025,73,MCFGPD,2370,2694,341OHIO ,
47026,119,MCFGPD,2409,2714,341OHIO ,
47028,103,MCFGPD,0,0,341OHIO ,
47205,84,MCFGPD,2820,3145,341OHIO ,
47208,84,MCFGPD,2276,2590,341OHIO ,
47209,73,MCFGPD,2258,2576,341OHIO ,
47210,60,MCFGPD,2455,2749,341OHIO ,
47211,0,MCFGPD,1853,1858,332BIGL ,
47220,60,MCFGPD,2471,2798,341OHIO ,
47221,103,MCFGPD,2652,3007,341OHIO ,
47222,84,MCFGPD,2498,2804,341OHIO ,
47224,30,MCFGPD,1751,1915,332BIGL ,
47227,112,MCFGPD,2502,2840,341OHIO ,
47228,169,MCFGPD,2466,2796,341OHIO ,
47229,189,MCFGPD,2500,2850,341OHIO ,
47230,94,MCFGPD,2547,2854,341OHIO ,
47231,119,MCFGPD,2470,2762,341OHIO ,
47233,94,MCFGPD,2417,2819,341OHIO ,
47235,0,MCFGPD,2607,2896,341OHIO ,
47547,133,MCFGPD,2609,3079,341OHIO ,
47549,424,MCFGPD,2431,2921,341OHIO ,
49629,174,MCFGPD,2775,2810,344CORN ,
8670,40,MCFGPD,3656,3661,355BGSX ,
8675,253,MCFGPD,2483,2844,341OHIO ,
8677,146,MCFGPD,2404,2809,341OHIO ,
11265,0,MCFGPD,2929,2939,341OHIO ,
11318,0,MCFGPD,2494,2504,341OHIO ,
11320,0,MCFGPD,2492,2506,341OHIO ,
11322,73,MCFGPD,2701,2922,341OHIO ,
11328,0,MCFGPD,2521,2812,341OHIO ,
11631,0,MCFGPD,2727,2771,344CORN ,
12402,0,MCFGPD,3321,3672,341OHIO ,
16189,0,MCFGPD,3790,3990,341OHIO ,
16193,0,MCFGPD,3320,3570,341OHIO ,
16196,0,MCFGPD,3850,4030,341OHIO ,
16200,0,MCFGPD,3817,4150,341OHIO ,
16209,0,MCFGPD,3810,3980,341OHIO ,
16210,0,MCFGPD,4075,4244,341OHIO ,
16215,0,MCFGPD,4100,4710,341OHIO ,
16216,0,MCFGPD,5100,5520,341OHIO ,
16217,0,MCFGPD,4340,4630,341OHIO ,
16218,,MCFGPD,4770,5350,341OHIO ,
16224,0,MCFGPD,3060,3298,341OHIO ,
16225,0,MCFGPD,2700,3450,341OHIO ,
16274,0,MCFGPD,3314,3680,341OHIO ,
23294,0,MCFGPD,2698,2864,341OHIO ,
31254,979,MCFGPD,2910,3250,341OHIO ,
31499,0,MCFGPD,0,0,341OHIO ,
37673,0,MCFGPD,1804,1888,341OHIO ,
39522,0,MCFGPD,3769,3996,341OHIO ,
39632,0,MCFGPD,2440,3113,341OHIO ,
39777,0,MCFGPD,3718,3925,341OHIO ,
39943,189,MCFGPD,3518,4427,340BBSI ,
40047,0,MCFGPD,3110,3225,339BREA ,
40085,0,MCFGPD,2990,3860,341OHIO ,
40287,0,MCFGPD,3041,3050,341OHIO ,
40595,2,BOPD  ,3140,3268,339BREA ,
40625,0,MCFGPD,3632,3653,341OHIO ,
40628,0,MCFGPD,3526,3548,341OHIO ,
40646,0,MCFGPD,3473,3495,341OHIO ,
40680,0,MCFGPD,3503,3523,341OHIO ,
41217,0,MCFGPD,4333,4456,341OHIO ,
45437,0,MCFGPD,2859,2880,341OHIO ,
47015,0,MCFGPD,3412,3417,355BGSX ,
47022,0,MCFGPD,2398,2412,341OHIO ,
47025,0,MCFGPD,1935,1941,332BIGL ,
47211,0,MCFGPD,2279,2584,341OHIO ,
47224,73,MCFGPD,2300,2695,341OHIO ,
47235,0,MCFGPD,2131,2160,332BIGL ,
40047,0,MCFGPD,2340,2579,332BIGL ,
40625,0,MCFGPD,3341,3363,341OHIO ,
40628,0,MCFGPD,3200,3222,341OHIO ,
40646,0,MCFGPD,3824,3846,341OHIO ,
40680,0,MCFGPD,3817,3837,341OHIO ,
45437,0,MCFGPD,3066,3088,341OHIO ,
50553,513,MCFGPD,2794,3340,341OHIO ,
50771,164,MCFGPD,2697,3125,341OHIO ,
50775,413,MCFGPD,2485,2510,341OHIO ,
50969,15,MCFGPD,1317,1350,339BREA ,
50972,112,MCFGPD,2100,2795,344CORN ,
50985,73,MCFGPD,2780,3279,341OHIO ,
51259,330,MCFGPD,2455,2932,341OHIO ,
51331,232,MCFGPD,2445,2934,341OHIO ,
51348,282,MCFGPD,2365,2848,341OHIO ,
51351,223,MCFGPD,2325,2795,341OHIO ,
51503,146,MCFGPD,3046,3620,341OHIO ,
51514,60,MCFGPD,2973,3427,341OHIO ,
52246,0,MCFGPD,3134,3140,332BIGL ,
52282,112,MCFGPD,2123,2862,344CORN ,
52970,146,MCFGPD,2917,3173,341OHIO ,
52985,112,MCFGPD,3084,3358,340BBSI ,
52989,260,MCFGPD,3211,3483,341OHIO ,
52990,60,MCFGPD,2875,3160,332BIGL ,
53098,33,MCFGPD,2826,3371,341OHIO ,
53133,158,MCFGPD,2935,3405,341OHIO ,
53145,73,MCFGPD,2827,3293,341OHIO ,
53159,894,MCFGPD,2092,2319,332BIGL ,
53164,169,MCFGPD,2610,2695,332BIGL ,
53165,84,MCFGPD,2773,3196,341OHIO ,
53166,84,MCFGPD,2825,3311,341OHIO ,
53333,94,MCFGPD,2700,3148,341OHIO ,
53713,60,MCFGPD,2836,3079,341OHIO ,
53821,60,MCFGPD,3523,3798,341OHIO ,
54346,660,MCFGPD,2560,2576,332BIGL ,
55023,94,MCFGPD,2990,3446,341OHIO ,
55026,179,MCFGPD,2711,3224,341OHIO ,
55032,207,MCFGPD,2733,3296,341OHIO ,
55033,60,MCFGPD,2642,3118,341OHIO ,
55103,448,MCFGPD,2519,3021,341OHIO ,
55104,133,MCFGPD,2860,3343,341OHIO ,
55109,569,MCFGPD,2980,3203,341OHIO ,
55339,103,MCFGPD,3027,3501,341OHIO ,
55340,84,MCFGPD,2861,3374,341OHIO ,
55342,0,MCFGPD,3219,3695,341OHIO ,
55382,103,MCFGPD,2280,2846,341OHIO ,
56424,60,MCFGPD,2592,3083,341OHIO ,
56520,377,MCFGPD,2237,2854,341OHIO ,
56626,357,MCFGPD,2706,3153,341OHIO ,
57038,380,MCFGPD,2596,3087,341OHIO ,
57123,192,MCFGPD,2650,3072,341OHIO ,
60313,251,MCFGPD,2456,2964,341OHIO ,
60317,213,MCFGPD,2720,3331,341OHIO ,
60445,72,MCFGPD,2630,3226,341OHIO ,
60699,26,MCFGPD,2378,2743,341OHIO ,
60740,783,MCFGPD,2360,2690,341OHIO ,
60745,858,MCFGPD,2729,3298,341OHIO ,
60776,207,MCFGPD,2293,2795,341OHIO ,
60779,33,MCFGPD,2755,3332,341OHIO ,
60941,615,MCFGPD,2707,3220,341OHIO ,
61043,84,MCFGPD,2684,3262,341OHIO ,
61046,440,MCFGPD,2614,3223,341OHIO ,
61047,95,MCFGPD,2438,2996,341OHIO ,
61048,492,MCFGPD,2324,2932,341OHIO ,
61051,73,MCFGPD,2315,2915,341OHIO ,
61054,146,MCFGPD,2337,2920,341OHIO ,
61055,1119,MCFGPD,2229,2827,341OHIO ,
61056,582,MCFGPD,2391,3007,341OHIO ,
61063,0,MCFGPD,2350,2358,341OHIO ,
61067,60,MCFGPD,1912,2394,341OHIO ,
61917,0,MCFGPD,2431,2456,341OHIO ,
62177,84,MCFGPD,2246,2789,341OHIO ,
62581,0,MCFGPD,2327,2348,339SNBR ,
62582,60,MCFGPD,2711,3324,341OHIO ,
62583,0,MCFGPD,1883,1905,332BIGL ,
62586,0,MCFGPD,2702,2722,341OHIO ,
62587,0,MCFGPD,2529,2550,339BREA ,
62590,600,MCFGPD,1848,2360,341OHIO ,
62592,126,MCFGPD,2083,2643,341OHIO ,
62641,0,MCFGPD,2899,2920,341OHIO ,
62701,1832,MCFGPD,1915,2300,341OHIO ,
62742,0,MCFGPD,1864,1886,341OHIO ,
62744,114,MCFGPD,1909,2489,341OHIO ,
62748,431,MCFGPD,2004,2558,341OHIO ,
62836,133,MCFGPD,1902,2591,341OHIO ,
62906,0,MCFGPD,2604,2611,341OHIO ,
63392,304,MCFGPD,1992,2592,341OHIO ,
63393,169,MCFGPD,2282,2814,341OHIO ,
63398,261,MCFGPD,1942,2392,341OHIO ,
63401,970,MCFGPD,1882,2500,341OHIO ,
63406,184,MCFGPD,2228,2760,341OHIO ,
63816,0,MCFGPD,2132,2153,341OHIO ,
63819,73,MCFGPD,1310,1539,332BIGL ,
63931,103,MCFGPD,2489,3129,341OHIO ,
63936,48,MCFGPD,2274,2959,341OHIO ,
64006,179,MCFGPD,2370,2954,341OHIO ,
64007,39,MCFGPD,2805,3410,341OHIO ,
64008,30,MCFGPD,2200,2845,341OHIO ,
64032,119,MCFGPD,1906,1934,332BIGL ,
64680,1172,MCFGPD,2055,2657,341OHIO ,
64751,491,MCFGPD,2560,3137,341OHIO ,
64753,780,MCFGPD,2059,2660,341OHIO ,
65079,1152,MCFGPD,2367,3000,341OHIO ,
65086,0,MCFGPD,1600,1622,332BIGL ,
65167,0,MCFGPD,1520,1637,332BIGL ,
65186,0,MCFGPD,1603,1625,332BIGL ,
65187,232,MCFGPD,2485,3173,341OHIO ,
65189,391,MCFGPD,2181,2661,341OHIO ,
65313,0,MCFGPD,1471,1481,332BIGL ,
65315,0,MCFGPD,2368,2391,341OHIO ,
65546,119,MCFGPD,2284,3001,341OHIO ,
